locus_tag	ftype	length_bp	gene	EC_number	COG	product
JEDGCGCC_00001	CDS	837	yddE_1	5.1.-.-	COG0384	putative isomerase YddE
JEDGCGCC_00002	CDS	2442	iutA_1			Ferric aerobactin receptor
JEDGCGCC_00003	CDS	843				hypothetical protein
JEDGCGCC_00004	CDS	525				hypothetical protein
JEDGCGCC_00005	CDS	324				hypothetical protein
JEDGCGCC_00006	CDS	1434	mdtK_1		COG0534	Multidrug resistance protein MdtK
JEDGCGCC_00007	CDS	894	rhtA		COG5006	Threonine/homoserine exporter RhtA
JEDGCGCC_00008	CDS	600	sutR_1		COG1396	HTH-type transcriptional regulator SutR
JEDGCGCC_00009	CDS	399				hypothetical protein
JEDGCGCC_00010	CDS	477				hypothetical protein
JEDGCGCC_00011	CDS	1107				hypothetical protein
JEDGCGCC_00012	CDS	270				hypothetical protein
JEDGCGCC_00013	CDS	426				hypothetical protein
JEDGCGCC_00014	CDS	414				hypothetical protein
JEDGCGCC_00015	CDS	1212				putative transporter
JEDGCGCC_00016	CDS	1245				hypothetical protein
JEDGCGCC_00017	CDS	750				hypothetical protein
JEDGCGCC_00018	CDS	351				hypothetical protein
JEDGCGCC_00019	CDS	339				hypothetical protein
JEDGCGCC_00020	CDS	693				hypothetical protein
JEDGCGCC_00021	CDS	1566				hypothetical protein
JEDGCGCC_00022	CDS	1590				hypothetical protein
JEDGCGCC_00023	CDS	795	ped	1.1.1.311		(S)-1-Phenylethanol dehydrogenase
JEDGCGCC_00024	CDS	459				hypothetical protein
JEDGCGCC_00025	CDS	909	gltI_1		COG0834	Glutamate/aspartate import solute-binding protein
JEDGCGCC_00026	CDS	747	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
JEDGCGCC_00027	CDS	666	gltK_1		COG0765	Glutamate/aspartate import permease protein GltK
JEDGCGCC_00028	CDS	735	glnQ_1			Glutamine transport ATP-binding protein GlnQ
JEDGCGCC_00029	CDS	1674	ggt_1	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
JEDGCGCC_00030	CDS	1089	ansB	3.5.1.38	COG0252	Glutaminase-asparaginase
JEDGCGCC_00031	CDS	1902	dctB_1	2.7.13.3		C4-dicarboxylate transport sensor protein DctB
JEDGCGCC_00032	CDS	1326	dctD_1			C4-dicarboxylate transport transcriptional regulatory protein DctD
JEDGCGCC_00033	CDS	1113	nemA_1	1.3.1.-	COG1902	N-ethylmaleimide reductase
JEDGCGCC_00034	CDS	207				hypothetical protein
