#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:5197580-5199151|-  -            524 30483at72274         -            371  4.3e-200  662.6   0.0   1   1  1.3e-202  5.5e-200  662.3   0.0     2   365   121   508   120   513 0.95 1_4750 # 5197580 # 5199151 # -1 # ID=1_4750;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.655
1:3199596-3201515|+  -            640 30483at72274         -            371     6e-97  323.2   0.0   1   1     2e-99   8.1e-97  322.8   0.0    20   364    14   373     3   378 0.92 1_2965 # 3199596 # 3201515 # 1 # ID=1_2965;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.685
1:5091087-5092436|+  -            450 30483at72274         -            371   7.5e-92  306.4   0.0   1   1   2.4e-94   9.6e-92  306.1   0.0    19   366    13   370     4   374 0.93 1_4657 # 5091087 # 5092436 # 1 # ID=1_4657;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.685
1:5676322-5677647|+  -            442 30483at72274         -            371   7.8e-88  293.2   0.1   1   1   2.4e-90   9.9e-88  292.9   0.1    15   369     8   372     2   374 0.93 1_5185 # 5676322 # 5677647 # 1 # ID=1_5185;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.677
1:3166453-3167829|+  -            459 30483at72274         -            371   6.8e-82  273.7   0.0   1   1   2.2e-84     9e-82  273.3   0.0    22   361    19   363     2   370 0.91 1_2940 # 3166453 # 3167829 # 1 # ID=1_2940;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.695
1:6384613-6386283|+  -            557 30483at72274         -            371   2.5e-80  268.5   0.1   1   1   8.3e-83   3.4e-80  268.1   0.1    19   364    18   369     3   375 0.92 1_5843 # 6384613 # 6386283 # 1 # ID=1_5843;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699
1:6543146-6545224|+  -            693 30483at72274         -            371   4.2e-12   44.0   0.0   1   1   1.6e-14   6.5e-12   43.4   0.0    25   347    21   348    10   356 0.77 1_6024 # 6543146 # 6545224 # 1 # ID=1_6024;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.588
1:3679729-3682476|+  -            916 30483at72274         -            371   9.2e-07   26.4   0.0   1   1   5.1e-09   2.1e-06   25.3   0.0   244   349   502   614   478   632 0.79 1_3402 # 3679729 # 3682476 # 1 # ID=1_3402;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.557
1:5894319-5898665|+  -           1449 30483at72274         -            371   5.6e-06   23.9   0.1   1   2      0.64   2.6e+02   -1.4   0.0    40    69    49    78    34   106 0.74 1_5387 # 5894319 # 5898665 # 1 # ID=1_5387;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.714
1:5894319-5898665|+  -           1449 30483at72274         -            371   5.6e-06   23.9   0.1   2   2   5.1e-08   2.1e-05   22.0   0.0   241   334   285   385   264   406 0.78 1_5387 # 5894319 # 5898665 # 1 # ID=1_5387;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.714
1:4786889-4792162|-  -           1758 30483at72274         -            371   6.4e-06   23.7   0.0   1   2   9.8e-05      0.04   11.2   0.0    42    90   107   157    90   237 0.82 1_4383 # 4786889 # 4792162 # -1 # ID=1_4383;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
1:4786889-4792162|-  -           1758 30483at72274         -            371   6.4e-06   23.7   0.0   2   2    0.0003      0.12    9.6   0.0   302   345  1009  1052   996  1077 0.77 1_4383 # 4786889 # 4792162 # -1 # ID=1_4383;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
1:2683041-2685017|+  -            659 30483at72274         -            371     4e-05   21.1   0.0   1   2      0.48   1.9e+02   -0.9   0.0   150   161   349   360   343   363 0.86 1_2468 # 2683041 # 2685017 # 1 # ID=1_2468;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
1:2683041-2685017|+  -            659 30483at72274         -            371     4e-05   21.1   0.0   2   2   4.6e-07   0.00019   18.9   0.0   234   335   497   604   485   634 0.80 1_2468 # 2683041 # 2685017 # 1 # ID=1_2468;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
1:4784093-4786882|-  -            930 30483at72274         -            371   8.4e-05   20.0   0.0   1   2       1.9   7.5e+02   -2.9   0.0   150   221   225   299   209   311 0.68 1_4382 # 4784093 # 4786882 # -1 # ID=1_4382;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.642
1:4784093-4786882|-  -            930 30483at72274         -            371   8.4e-05   20.0   0.0   2   2   5.8e-07   0.00024   18.5   0.0   270   338   507   576   499   603 0.89 1_4382 # 4784093 # 4786882 # -1 # ID=1_4382;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.642
1:5805013-5807151|+  -            713 30483at72274         -            371   0.00086   16.7   0.0   1   2      0.82   3.3e+02   -1.7   0.0    27    60    18    51     8    57 0.87 1_5312 # 5805013 # 5807151 # 1 # ID=1_5312;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684
1:5805013-5807151|+  -            713 30483at72274         -            371   0.00086   16.7   0.0   2   2   8.2e-06    0.0033   14.7   0.0   276   336   264   324   213   350 0.89 1_5312 # 5805013 # 5807151 # 1 # ID=1_5312;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684
1:2291598-2294819|-  -           1074 30483at72274         -            371    0.0034   14.7   0.0   1   1   1.6e-05    0.0065   13.8   0.0   284   344   758   818   739   841 0.87 1_2121 # 2291598 # 2294819 # -1 # ID=1_2121;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
1:304851-310691|-    -           1947 30483at72274         -            371    0.0097   13.2   0.0   1   2     0.058        24    2.1   0.0    41    69   126   154   106   164 0.82 1_230 # 304851 # 310691 # -1 # ID=1_230;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
1:304851-310691|-    -           1947 30483at72274         -            371    0.0097   13.2   0.0   2   2   0.00062      0.25    8.6   0.0   290   338  1199  1247  1164  1271 0.80 1_230 # 304851 # 310691 # -1 # ID=1_230;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
1:5852236-5855082|-  -            949 30483at72274         -            371     0.026   11.8   0.0   1   1   0.00011     0.046   11.0   0.0   243   337   485   586   477   596 0.72 1_5349 # 5852236 # 5855082 # -1 # ID=1_5349;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.677
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30483at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/30483at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30483at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:47:22 2024
# [ok]
