#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:4541304-4541723|-  -            140 56209at72274         -            137   1.7e-63  211.0   0.1   1   1     2e-66   1.9e-63  210.9   0.1     2   137     4   139     3   139 0.99 2_4191 # 4541304 # 4541723 # -1 # ID=2_4191;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
2:1076253-1077836|-  -            528 56209at72274         -            137   4.1e-36  122.3   0.0   1   4   4.8e-10   4.5e-07   28.3   0.0    45   132    15   103    10   107 0.91 2_1032 # 1076253 # 1077836 # -1 # ID=2_1032;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.693
2:1076253-1077836|-  -            528 56209at72274         -            137   4.1e-36  122.3   0.0   2   4   1.9e-09   1.7e-06   26.4   0.0    29   129   121   224   119   230 0.82 2_1032 # 1076253 # 1077836 # -1 # ID=2_1032;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.693
2:1076253-1077836|-  -            528 56209at72274         -            137   4.1e-36  122.3   0.0   3   4   3.1e-12   2.9e-09   35.4   0.0    51   123   280   352   265   355 0.96 2_1032 # 1076253 # 1077836 # -1 # ID=2_1032;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.693
2:1076253-1077836|-  -            528 56209at72274         -            137   4.1e-36  122.3   0.0   4   4   1.3e-09   1.2e-06   26.9   0.0    38   134   377   472   370   474 0.89 2_1032 # 1076253 # 1077836 # -1 # ID=2_1032;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.693
2:5690791-5691123|-  -            111 56209at72274         -            137     1e-14   53.0   0.0   1   1   1.3e-17   1.2e-14   52.8   0.0    47   130    16    98     2   100 0.89 2_5243 # 5690791 # 5691123 # -1 # ID=2_5243;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.670
2:1752087-1753505|-  -            473 56209at72274         -            137   2.9e-10   38.6   0.0   1   1   5.7e-13   5.4e-10   37.7   0.0    48   130   382   463   363   471 0.89 2_1580 # 1752087 # 1753505 # -1 # ID=2_1580;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.585
2:3238934-3239872|-  -            313 56209at72274         -            137   0.00035   18.9   0.0   1   1   5.6e-07   0.00053   18.4   0.0    31   128   106   208    95   213 0.89 2_3022 # 3238934 # 3239872 # -1 # ID=2_3022;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.638
2:4325521-4326336|+  -            272 56209at72274         -            137   0.00063   18.1   0.0   1   3    0.0026       2.5    6.5   0.0    49    74    22    47    10    53 0.80 2_4016 # 4325521 # 4326336 # 1 # ID=2_4016;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.695
2:4325521-4326336|+  -            272 56209at72274         -            137   0.00063   18.1   0.0   2   3    0.0015       1.4    7.2   0.0    79   132    69   124    63   127 0.81 2_4016 # 4325521 # 4326336 # 1 # ID=2_4016;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.695
2:4325521-4326336|+  -            272 56209at72274         -            137   0.00063   18.1   0.0   3   3      0.22   2.1e+02    0.2   0.0    78   117   210   249   167   264 0.70 2_4016 # 4325521 # 4326336 # 1 # ID=2_4016;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.695
