#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:6359381-6360139|+  -            253 49700at72274         -            225   1.3e-79  265.3   8.7   1   1   2.1e-82   2.3e-79  264.5   8.7     2   223     4   251     3   252 0.91 2_5885 # 6359381 # 6360139 # 1 # ID=2_5885;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.631
2:5047582-5047899|-  -            106 49700at72274         -            225   3.5e-06   25.1   0.2   1   1   3.6e-09     4e-06   25.0   0.2    21   106    12   102     5   105 0.88 2_4654 # 5047582 # 5047899 # -1 # ID=2_4654;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.664
2:4000598-4002325|+  -            576 49700at72274         -            225   3.7e-06   25.1  14.5   1   4      0.86   9.5e+02   -2.4   0.1     5    20     5    20     2    24 0.81 2_3723 # 4000598 # 4002325 # 1 # ID=2_3723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.671
2:4000598-4002325|+  -            576 49700at72274         -            225   3.7e-06   25.1  14.5   2   4   0.00014      0.15   10.0   0.0    73   115   228   278   198   284 0.72 2_3723 # 4000598 # 4002325 # 1 # ID=2_3723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.671
2:4000598-4002325|+  -            576 49700at72274         -            225   3.7e-06   25.1  14.5   3   4    0.0013       1.5    6.8   1.0    27   117   289   381   280   393 0.73 2_3723 # 4000598 # 4002325 # 1 # ID=2_3723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.671
2:4000598-4002325|+  -            576 49700at72274         -            225   3.7e-06   25.1  14.5   4   4   5.5e-06    0.0061   14.6   2.3    40   179   404   553   384   573 0.77 2_3723 # 4000598 # 4002325 # 1 # ID=2_3723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.671
2:3497132-3497869|-  -            246 49700at72274         -            225    0.0012   16.9   0.4   1   2      0.93     1e+03   -2.5   0.0    24    49    35    60     4    62 0.59 2_3242 # 3497132 # 3497869 # -1 # ID=2_3242;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.714
2:3497132-3497869|-  -            246 49700at72274         -            225    0.0012   16.9   0.4   2   2   2.8e-06    0.0031   15.5   0.1    51   155    91   199    80   206 0.83 2_3242 # 3497132 # 3497869 # -1 # ID=2_3242;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.714
2:5447945-5448931|+  -            329 49700at72274         -            225    0.0072   14.3  10.6   1   2   0.00032      0.35    8.8   1.6    85   119    55    89    17    92 0.82 2_5011 # 5447945 # 5448931 # 1 # ID=2_5011;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.664
2:5447945-5448931|+  -            329 49700at72274         -            225    0.0072   14.3  10.6   2   2   0.00011      0.13   10.3   2.1    27   147    94   222    90   272 0.77 2_5011 # 5447945 # 5448931 # 1 # ID=2_5011;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.664
2:6474473-6475741|+  -            423 49700at72274         -            225     0.015   13.3   2.3   1   1   2.1e-05     0.023   12.7   2.3    40   118   334   415   329   419 0.86 2_5987 # 6474473 # 6475741 # 1 # ID=2_5987;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/49700at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/49700at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/49700at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:56:22 2024
# [ok]
