#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3:562635-564500|-    -            622 12775at72274         -            529  4.7e-182  605.1  16.8   1   1  1.3e-183  1.1e-180  600.6  16.8     1   529     2   619     2   619 0.88 3_516 # 562635 # 564500 # -1 # ID=3_516;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.632
1:3278029-3279321|-  -            431 12775at72274         -            529   3.8e-43  146.7   6.1   1   3   5.9e-06    0.0048   14.4   5.3    35   166    33   166    22   171 0.83 1_3017 # 3278029 # 3279321 # -1 # ID=1_3017;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.654
1:3278029-3279321|-  -            431 12775at72274         -            529   3.8e-43  146.7   6.1   2   3     2e-15   1.6e-12   45.6   0.0   229   330   172   278   157   284 0.85 1_3017 # 3278029 # 3279321 # -1 # ID=1_3017;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.654
1:3278029-3279321|-  -            431 12775at72274         -            529   3.8e-43  146.7   6.1   3   3   3.7e-27     3e-24   84.3   0.0   234   339   287   393   282   427 0.84 1_3017 # 3278029 # 3279321 # -1 # ID=1_3017;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.654
1:918066-919010|-    -            315 12775at72274         -            529   1.5e-27   95.3   0.2   1   1   3.1e-30   2.5e-27   94.5   0.1   207   360   129   288   119   303 0.88 1_888 # 918066 # 919010 # -1 # ID=1_888;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.708
1:3449809-3450090|+  -             94 12775at72274         -            529   5.9e-15   53.7   0.0   1   1   8.3e-18   6.7e-15   53.5   0.0   238   330     6    91     2    93 0.86 1_3175 # 3449809 # 3450090 # 1 # ID=1_3175;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.649
3:317570-317848|+    -             93 12775at72274         -            529   1.8e-14   52.1   0.0   1   1   2.6e-17   2.1e-14   51.9   0.0   238   327     6    88     3    91 0.88 3_298 # 317570 # 317848 # 1 # ID=3_298;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.652
1:3789756-3790574|+  -            273 12775at72274         -            529     2e-11   42.0   0.0   1   2     0.095        77    0.5   0.1    77    95    47    65    17    70 0.84 1_3486 # 3789756 # 3790574 # 1 # ID=1_3486;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.702
1:3789756-3790574|+  -            273 12775at72274         -            529     2e-11   42.0   0.0   2   2   1.8e-13   1.5e-10   39.2   0.0   237   356   119   243   116   256 0.89 1_3486 # 3789756 # 3790574 # 1 # ID=1_3486;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.702
1:2650718-2652004|+  -            429 12775at72274         -            529    0.0014   16.1   0.0   1   1   6.8e-06    0.0055   14.2   0.0   217   337   271   390   268   423 0.73 1_2434 # 2650718 # 2652004 # 1 # ID=1_2434;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.692
3:1018792-1019061|-  -             90 12775at72274         -            529     0.032   11.6   0.5   1   1   4.7e-05     0.038   11.4   0.5    11    45    15    50     7    52 0.87 3_973 # 1018792 # 1019061 # -1 # ID=3_973;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/12775at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/run_pseudomonadales_odb10/hmmer_output/12775at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/12775at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly
# Date:            Wed Aug 14 13:05:35 2024
# [ok]
