#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:3873202-3876033|-  -            944 865at72274           -            757         0 1238.7   0.1   1   1         0         0 1232.4   0.1     1   757     3   943     3   943 0.88 2_3612 # 3873202 # 3876033 # -1 # ID=2_3612;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
2:6329755-6332607|-  -            951 865at72274           -            757   1.6e-33  114.2   7.9   1   3   1.4e-15   1.8e-12   44.6   0.0    40   220    32   237     9   289 0.78 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6329755-6332607|-  -            951 865at72274           -            757   1.6e-33  114.2   7.9   2   3   3.9e-16   5.2e-13   46.4   5.7   332   519   376   571   362   595 0.67 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6329755-6332607|-  -            951 865at72274           -            757   1.6e-33  114.2   7.9   3   3   1.5e-06    0.0019   14.8   0.0   515   658   606   766   576   778 0.74 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6134452-6137073|-  -            874 865at72274           -            757   5.9e-17   59.5   0.3   1   4   5.5e-13   7.3e-10   36.0   0.0    31   131    25   127     6   147 0.87 2_5676 # 6134452 # 6137073 # -1 # ID=2_5676;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.659
2:6134452-6137073|-  -            874 865at72274           -            757   5.9e-17   59.5   0.3   2   4       0.2   2.6e+02   -2.2   0.0   242   281   305   351   240   357 0.79 2_5676 # 6134452 # 6137073 # -1 # ID=2_5676;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.659
2:6134452-6137073|-  -            874 865at72274           -            757   5.9e-17   59.5   0.3   3   4   6.3e-06    0.0083   12.7   0.0   359   394   419   451   398   462 0.74 2_5676 # 6134452 # 6137073 # -1 # ID=2_5676;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.659
2:6134452-6137073|-  -            874 865at72274           -            757   5.9e-17   59.5   0.3   4   4    0.0008       1.1    5.7   0.0   494   526   625   661   572   695 0.71 2_5676 # 6134452 # 6137073 # -1 # ID=2_5676;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.659
2:39000-41033|-      -            678 865at72274           -            757   1.2e-12   45.2   0.1   1   3   4.2e-14   5.5e-11   39.7   0.0    40   115     6    79     1   112 0.75 2_35 # 39000 # 41033 # -1 # ID=2_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658
2:39000-41033|-      -            678 865at72274           -            757   1.2e-12   45.2   0.1   2   3       0.2   2.7e+02   -2.2   0.0   428   460   205   237   185   270 0.78 2_35 # 39000 # 41033 # -1 # ID=2_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658
2:39000-41033|-      -            678 865at72274           -            757   1.2e-12   45.2   0.1   3   3    0.0066       8.7    2.7   0.0   479   526   311   360   284   391 0.77 2_35 # 39000 # 41033 # -1 # ID=2_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658
2:2160844-2162226|-  -            461 865at72274           -            757   1.7e-06   24.8   0.0   1   2     0.008        11    2.4   0.1    54   129    36   113    25   130 0.73 2_1976 # 2160844 # 2162226 # -1 # ID=2_1976;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.654
2:2160844-2162226|-  -            461 865at72274           -            757   1.7e-06   24.8   0.0   2   2   3.2e-08   4.2e-05   20.2   0.0   482   555   248   324   222   336 0.87 2_1976 # 2160844 # 2162226 # -1 # ID=2_1976;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.654
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/865at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/865at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/865at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:51:50 2024
# [ok]
