#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4530525-4531340|-  -            272 35711at72274         -            224  1.8e-127  421.7   1.0   1   1  3.1e-130    2e-127  421.5   1.0     1   224     1   240     1   240 0.96 1_4161 # 4530525 # 4531340 # -1 # ID=1_4161;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
3:1009555-1010388|-  -            278 35711at72274         -            224   1.5e-15   55.7   0.5   1   1   3.5e-18   2.3e-15   55.0   0.5     3   214     8   227     6   236 0.76 3_966 # 1009555 # 1010388 # -1 # ID=3_966;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.649
3:1001294-1002082|-  -            263 35711at72274         -            224   1.5e-07   29.5   0.2   1   1   1.1e-09   7.1e-07   27.3   0.2     3   158     2   171     1   196 0.67 3_958 # 1001294 # 1002082 # -1 # ID=3_958;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.657
1:4261280-4262374|+  -            365 35711at72274         -            224     3e-07   28.5   0.7   1   2   1.6e-09   1.1e-06   26.7   0.4     3    41   100   138    98   149 0.92 1_3913 # 4261280 # 4262374 # 1 # ID=1_3913;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.687
1:4261280-4262374|+  -            365 35711at72274         -            224     3e-07   28.5   0.7   2   2      0.44   2.8e+02   -0.9   0.0   109   149   208   250   199   273 0.70 1_3913 # 4261280 # 4262374 # 1 # ID=1_3913;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.687
1:2577189-2577977|-  -            263 35711at72274         -            224   5.2e-07   27.7   0.2   1   1   2.5e-09   1.7e-06   26.1   0.2     1   146     1   155     1   236 0.71 1_2372 # 2577189 # 2577977 # -1 # ID=1_2372;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.649
2:236420-237295|-    -            292 35711at72274         -            224     2e-06   25.8   0.3   1   2   6.3e-08   4.1e-05   21.5   0.3     3    41     2    40     1    46 0.92 2_230 # 236420 # 237295 # -1 # ID=2_230;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.688
2:236420-237295|-    -            292 35711at72274         -            224     2e-06   25.8   0.3   2   2     0.052        34    2.2   0.0   106   214   114   235   106   241 0.65 2_230 # 236420 # 237295 # -1 # ID=2_230;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.688
1:1260904-1261770|+  -            289 35711at72274         -            224   2.7e-06   25.4   0.0   1   1   9.3e-09   6.1e-06   24.2   0.0     2    40     3    41     2    72 0.94 1_1182 # 1260904 # 1261770 # 1 # ID=1_1182;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.601
1:807548-808423|+    -            292 35711at72274         -            224   2.9e-06   25.3   0.4   1   2   6.3e-08   4.1e-05   21.5   0.3     3    41     2    40     1    46 0.92 1_783 # 807548 # 808423 # 1 # ID=1_783;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.660
1:807548-808423|+    -            292 35711at72274         -            224   2.9e-06   25.3   0.4   2   2     0.082        53    1.5   0.0   106   178   114   191   105   239 0.59 1_783 # 807548 # 808423 # 1 # ID=1_783;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.660
1:4048424-4049062|-  -            213 35711at72274         -            224   4.6e-06   24.6   0.0   1   2   2.5e-07   0.00016   19.6   0.0     8    43     6    41     1    50 0.85 1_3728 # 4048424 # 4049062 # -1 # ID=1_3728;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.707
1:4048424-4049062|-  -            213 35711at72274         -            224   4.6e-06   24.6   0.0   2   2     0.026        17    3.2   0.0   108   172    78   142    62   151 0.80 1_3728 # 4048424 # 4049062 # -1 # ID=1_3728;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.707
1:1950842-1951609|-  -            256 35711at72274         -            224   0.00036   18.4   0.1   1   1   7.7e-07    0.0005   18.0   0.1     6    45     4    43     2   214 0.86 1_1800 # 1950842 # 1951609 # -1 # ID=1_1800;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.624
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/35711at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/run_pseudomonadales_odb10/hmmer_output/35711at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/35711at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly
# Date:            Wed Aug 14 13:06:15 2024
# [ok]
