#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:977240-977788|-    -            183 46636at72274         -            152   4.5e-93  307.4   0.3   1   1   1.1e-95   5.4e-93  307.1   0.3     1   152    17   182    17   182 0.94 2_921 # 977240 # 977788 # -1 # ID=2_921;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
2:32814-35138|-      -            775 46636at72274         -            152   0.00012   20.4   0.8   1   1   5.3e-07   0.00027   19.2   0.8    36   113   368   444   358   471 0.87 2_29 # 32814 # 35138 # -1 # ID=2_29;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
2:5536705-5537979|-  -            425 46636at72274         -            152     0.001   17.3   7.7   1   2    0.0017      0.85    7.8   0.2    65    93   334   362   329   378 0.84 2_5092 # 5536705 # 5537979 # -1 # ID=2_5092;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.669
2:5536705-5537979|-  -            425 46636at72274         -            152     0.001   17.3   7.7   2   2   8.5e-05     0.043   12.0   2.5    34    55   379   401   367   414 0.79 2_5092 # 5536705 # 5537979 # -1 # ID=2_5092;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.669
2:1503178-1503423|+  -             82 46636at72274         -            152    0.0015   16.8   4.9   1   1     6e-06    0.0031   15.8   4.9    33    94    19    75     2    81 0.71 2_1346 # 1503178 # 1503423 # 1 # ID=2_1346;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
2:5450897-5451148|-  -             84 46636at72274         -            152     0.004   15.4   6.5   1   2    0.0011      0.58    8.4   2.3    75    94     8    27     3    41 0.73 2_5013 # 5450897 # 5451148 # -1 # ID=2_5013;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
2:5450897-5451148|-  -             84 46636at72274         -            152     0.004   15.4   6.5   2   2   0.00039       0.2    9.9   0.5    29    65    33    72    26    81 0.69 2_5013 # 5450897 # 5451148 # -1 # ID=2_5013;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
2:35135-35701|-      -            189 46636at72274         -            152    0.0064   14.7   9.7   1   2    0.0042       2.2    6.5   1.9    35    52   111   128   104   136 0.67 2_30 # 35135 # 35701 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705
2:35135-35701|-      -            189 46636at72274         -            152    0.0064   14.7   9.7   2   2     6e-05      0.03   12.5   1.1    35    64   141   170   134   176 0.84 2_30 # 35135 # 35701 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705
2:898533-898871|-    -            113 46636at72274         -            152    0.0073   14.6   8.1   1   1   8.1e-05     0.041   12.1   8.1    37   102     9    66     5    79 0.74 2_848 # 898533 # 898871 # -1 # ID=2_848;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:4123985-4126801|+  -            939 46636at72274         -            152    0.0086   14.3   4.2   1   2    0.0003      0.15   10.3   4.2    74   147   538   608   535   611 0.68 2_3829 # 4123985 # 4126801 # 1 # ID=2_3829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689
2:4123985-4126801|+  -            939 46636at72274         -            152    0.0086   14.3   4.2   2   2     0.061        31    2.8   0.5    32    51   589   608   581   624 0.84 2_3829 # 4123985 # 4126801 # 1 # ID=2_3829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689
2:6567170-6567493|-  -            108 46636at72274         -            152     0.032   12.5   9.1   1   1   0.00035      0.18   10.1   9.1    37   104     9    68     4    83 0.74 2_6072 # 6567170 # 6567493 # -1 # ID=2_6072;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.586
2:4842992-4844953|+  -            654 46636at72274         -            152      0.14   10.4   1.4   1   2    0.0018      0.91    7.7   0.1    72    91   241   260   229   275 0.82 2_4465 # 4842992 # 4844953 # 1 # ID=2_4465;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699
2:4842992-4844953|+  -            654 46636at72274         -            152      0.14   10.4   1.4   2   2      0.23   1.2e+02    0.9   0.2    75   101   322   348   314   358 0.67 2_4465 # 4842992 # 4844953 # 1 # ID=2_4465;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699
2:4784838-4786064|-  -            409 46636at72274         -            152      0.15   10.3   7.2   1   2    0.0067       3.4    5.9   1.5    74    88    23    37    15    42 0.86 2_4419 # 4784838 # 4786064 # -1 # ID=2_4419;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.721
2:4784838-4786064|-  -            409 46636at72274         -            152      0.15   10.3   7.2   2   2    0.0029       1.5    7.1   0.4    67    88    66    87    46   102 0.81 2_4419 # 4784838 # 4786064 # -1 # ID=2_4419;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.721
2:2814491-2814982|+  -            164 46636at72274         -            152       2.3    6.4  19.8   1   3      0.39     2e+02    0.2   7.2    36    55    30    49    18    85 0.65 2_2592 # 2814491 # 2814982 # 1 # ID=2_2592;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.744
2:2814491-2814982|+  -            164 46636at72274         -            152       2.3    6.4  19.8   2   3      0.47   2.4e+02   -0.1   5.2    75    95    99   119    58   124 0.65 2_2592 # 2814491 # 2814982 # 1 # ID=2_2592;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.744
2:2814491-2814982|+  -            164 46636at72274         -            152       2.3    6.4  19.8   3   3   0.00044      0.23    9.7   0.5    72    94   130   152   124   158 0.86 2_2592 # 2814491 # 2814982 # 1 # ID=2_2592;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.744
2:4161860-4162789|-  -            310 46636at72274         -            152       4.8    5.4  11.6   1   3     0.022        11    4.2   0.3    71    87    29    45    18    50 0.77 2_3868 # 4161860 # 4162789 # -1 # ID=2_3868;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
2:4161860-4162789|-  -            310 46636at72274         -            152       4.8    5.4  11.6   2   3      0.05        26    3.0   3.4    69    89   122   142    89   162 0.76 2_3868 # 4161860 # 4162789 # -1 # ID=2_3868;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
2:4161860-4162789|-  -            310 46636at72274         -            152       4.8    5.4  11.6   3   3    0.0077       3.9    5.7   2.8    34   100   126   189   123   198 0.69 2_3868 # 4161860 # 4162789 # -1 # ID=2_3868;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/46636at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/46636at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/46636at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:56:18 2024
# [ok]
