#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4232016-4232435|+  -            140 56209at72274         -            137   1.7e-63  211.0   0.1   1   1   1.7e-66   1.9e-63  210.9   0.1     2   137     4   139     3   139 0.99 1_3907 # 4232016 # 4232435 # 1 # ID=1_3907;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
1:6723796-6725379|-  -            528 56209at72274         -            137   1.5e-36  123.7   0.0   1   4   4.1e-10   4.5e-07   28.3   0.0    45   132    15   103    10   107 0.91 1_6183 # 6723796 # 6725379 # -1 # ID=1_6183;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
1:6723796-6725379|-  -            528 56209at72274         -            137   1.5e-36  123.7   0.0   2   4   1.6e-09   1.7e-06   26.4   0.0    29   129   121   224   119   230 0.82 1_6183 # 6723796 # 6725379 # -1 # ID=1_6183;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
1:6723796-6725379|-  -            528 56209at72274         -            137   1.5e-36  123.7   0.0   3   4   2.5e-12   2.8e-09   35.4   0.0    51   123   280   352   265   356 0.95 1_6183 # 6723796 # 6725379 # -1 # ID=1_6183;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
1:6723796-6725379|-  -            528 56209at72274         -            137   1.5e-36  123.7   0.0   4   4   4.3e-10   4.6e-07   28.2   0.0    37   134   376   472   370   474 0.92 1_6183 # 6723796 # 6725379 # -1 # ID=1_6183;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
1:3027551-3027883|+  -            111 56209at72274         -            137   6.8e-15   53.6   0.0   1   1   7.9e-18   8.5e-15   53.3   0.0    38   130     8    98     2   100 0.89 1_2797 # 3027551 # 3027883 # 1 # ID=1_2797;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.667
1:2021794-2022732|-  -            313 56209at72274         -            137   0.00035   18.9   0.0   1   1   4.8e-07   0.00052   18.4   0.0    31   128   106   208    95   213 0.89 1_1849 # 2021794 # 2022732 # -1 # ID=1_1849;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.637
1:4447542-4448357|-  -            272 56209at72274         -            137   0.00071   17.9   0.0   1   3    0.0022       2.4    6.5   0.0    49    74    22    47    10    53 0.80 1_4082 # 4447542 # 4448357 # -1 # ID=1_4082;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.695
1:4447542-4448357|-  -            272 56209at72274         -            137   0.00071   17.9   0.0   2   3    0.0014       1.5    7.1   0.0    79   131    69   123    63   127 0.81 1_4082 # 4447542 # 4448357 # -1 # ID=1_4082;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.695
1:4447542-4448357|-  -            272 56209at72274         -            137   0.00071   17.9   0.0   3   3      0.19     2e+02    0.2   0.0    78   117   210   249   167   264 0.70 1_4082 # 4447542 # 4448357 # -1 # ID=1_4082;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.695
1:1473955-1474809|+  -            285 56209at72274         -            137    0.0025   16.1   0.0   1   3       1.5   1.6e+03   -2.7   0.0    38    60     7    29     3    52 0.62 1_1330 # 1473955 # 1474809 # 1 # ID=1_1330;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
