#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:5734311-5734916|+  -            202 56907at72274         -            157   9.9e-78  257.7   0.2   1   1   3.7e-80   2.2e-77  256.6   0.2     1   157     1   190     1   190 0.88 2_5289 # 5734311 # 5734916 # 1 # ID=2_5289;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.649
2:3006889-3007491|-  -            201 56907at72274         -            157     3e-38  129.4   0.0   1   1   3.1e-40   1.9e-37  126.9   0.0     3   156     4   185     2   186 0.83 2_2775 # 3006889 # 3007491 # -1 # ID=2_2775;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.678
2:1983031-1984914|-  -            628 56907at72274         -            157   1.3e-09   36.4   0.0   1   1   1.3e-11     8e-09   33.8   0.0     2   156   437   617   436   618 0.66 2_1777 # 1983031 # 1984914 # -1 # ID=2_1777;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.703
2:5844269-5846152|-  -            628 56907at72274         -            157   1.3e-09   36.4   0.0   1   1   1.3e-11     8e-09   33.8   0.0     2   156   437   617   436   618 0.66 2_5386 # 5844269 # 5846152 # -1 # ID=2_5386;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.703
2:4109316-4110452|-  -            379 56907at72274         -            157   3.4e-08   31.8   0.0   1   1     9e-11   5.4e-08   31.1   0.0    34   142   231   355   202   370 0.73 2_3815 # 4109316 # 4110452 # -1 # ID=2_3815;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
2:6397434-6399011|+  -            526 56907at72274         -            157   6.7e-08   30.8   0.1   1   1   2.5e-08   1.5e-05   23.2   0.1    34   156    49   197    10   198 0.71 2_5922 # 6397434 # 6399011 # 1 # ID=2_5922;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.660
2:5378564-5379316|+  -            251 56907at72274         -            157   0.00068   17.8   0.0   1   2     2e-05     0.012   13.8   0.0    59    83   104   128    90   143 0.84 2_4944 # 5378564 # 5379316 # 1 # ID=2_4944;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643
2:5378564-5379316|+  -            251 56907at72274         -            157   0.00068   17.8   0.0   2   2      0.13        76    1.4   0.0   132   150   213   232   188   239 0.70 2_4944 # 5378564 # 5379316 # 1 # ID=2_4944;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643
2:5633246-5633962|+  -            239 56907at72274         -            157      0.02   13.0   0.0   1   1   6.2e-05     0.037   12.2   0.0    63    87    82   106    71   117 0.85 2_5185 # 5633246 # 5633962 # 1 # ID=2_5185;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.690
2:4554358-4554996|-  -            213 56907at72274         -            157     0.022   12.9   0.1   1   2     0.016       9.4    4.3   0.0    57    74    70    87    34    99 0.89 2_4204 # 4554358 # 4554996 # -1 # ID=2_4204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.674
2:4554358-4554996|-  -            213 56907at72274         -            157     0.022   12.9   0.1   2   2    0.0034         2    6.5   0.1   136   157   186   206   178   206 0.88 2_4204 # 4554358 # 4554996 # -1 # ID=2_4204;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.674
2:2219978-2220700|-  -            241 56907at72274         -            157     0.029   12.5   0.0   1   1     7e-05     0.042   12.0   0.0    55    87    85   117    66   158 0.84 2_2029 # 2219978 # 2220700 # -1 # ID=2_2029;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.650
2:2234859-2235557|-  -            233 56907at72274         -            157     0.034   12.3   0.0   1   1   8.1e-05     0.048   11.8   0.0    58    84    77   103    38   140 0.80 2_2043 # 2234859 # 2235557 # -1 # ID=2_2043;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.681
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/56907at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/56907at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/56907at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:56:31 2024
# [ok]
