#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:6134452-6137073|-  -            874 3242at72274          -            746         0 1351.5   2.6   1   1         0         0 1346.3   2.6    14   746    35   872    27   872 0.91 2_5676 # 6134452 # 6137073 # -1 # ID=2_5676;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.659
2:6329755-6332607|-  -            951 3242at72274          -            746   3.3e-28   96.5   8.4   1   6   4.5e-17   5.9e-14   49.4   0.0    21   150    40   186    29   196 0.73 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6329755-6332607|-  -            951 3242at72274          -            746   3.3e-28   96.5   8.4   2   6     0.013        18    1.5   0.0   213   235   214   236   203   245 0.83 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6329755-6332607|-  -            951 3242at72274          -            746   3.3e-28   96.5   8.4   3   6     5e-10   6.6e-07   26.1   0.0   275   342   243   310   236   318 0.88 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6329755-6332607|-  -            951 3242at72274          -            746   3.3e-28   96.5   8.4   4   6   1.9e-05     0.025   10.9   0.2   368   402   417   451   400   459 0.90 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6329755-6332607|-  -            951 3242at72274          -            746   3.3e-28   96.5   8.4   5   6   0.00087       1.2    5.4   0.1   555   584   544   573   540   584 0.89 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:6329755-6332607|-  -            951 3242at72274          -            746   3.3e-28   96.5   8.4   6   6     0.013        17    1.6   0.0   576   620   602   646   583   654 0.84 2_5856 # 6329755 # 6332607 # -1 # ID=2_5856;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
2:3873202-3876033|-  -            944 3242at72274          -            746   1.6e-22   77.7   0.0   1   4     5e-09   6.6e-06   22.7   0.0    21   139    58   187    50   202 0.79 2_3612 # 3873202 # 3876033 # -1 # ID=2_3612;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
2:3873202-3876033|-  -            944 3242at72274          -            746   1.6e-22   77.7   0.0   2   4   6.7e-09   8.8e-06   22.3   0.0   213   330   234   353   226   384 0.81 2_3612 # 3873202 # 3876033 # -1 # ID=2_3612;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
2:3873202-3876033|-  -            944 3242at72274          -            746   1.6e-22   77.7   0.0   3   4   8.4e-06     0.011   12.1   0.0   370   391   464   486   436   517 0.86 2_3612 # 3873202 # 3876033 # -1 # ID=2_3612;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
2:3873202-3876033|-  -            944 3242at72274          -            746   1.6e-22   77.7   0.0   4   4   1.1e-06    0.0015   15.0   0.0   561   590   607   636   572   666 0.85 2_3612 # 3873202 # 3876033 # -1 # ID=2_3612;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
