#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:1013088-1014413|+  -            442 18426at72274         -            352  3.5e-171  567.7   0.1   1   1    4e-173  2.9e-170  564.7   0.1     1   351    12   424    12   425 0.88 2_952 # 1013088 # 1014413 # 1 # ID=2_952;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.666
2:2434981-2437044|-  -            688 18426at72274         -            352   2.2e-14   52.0   0.0   1   2   2.7e-12     2e-09   35.7   0.0     2    67     6    69     5   112 0.81 2_2244 # 2434981 # 2437044 # -1 # ID=2_2244;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.691
2:2434981-2437044|-  -            688 18426at72274         -            352   2.2e-14   52.0   0.0   2   2   1.1e-05    0.0079   14.0   0.0    77   178   120   226   110   236 0.82 2_2244 # 2434981 # 2437044 # -1 # ID=2_2244;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.691
2:3082518-3083576|-  -            353 18426at72274         -            352   1.1e-09   36.5   0.0   1   1   3.1e-12   2.3e-09   35.5   0.0     3   103    21   134    19   152 0.74 2_2854 # 3082518 # 3083576 # -1 # ID=2_2854;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.636
2:5560987-5563785|+  -            933 18426at72274         -            352   1.2e-05   23.2   0.2   1   3    0.0023       1.7    6.3   0.0    27    60   273   306   251   314 0.73 2_5111 # 5560987 # 5563785 # 1 # ID=2_5111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.680
2:5560987-5563785|+  -            933 18426at72274         -            352   1.2e-05   23.2   0.2   2   3      0.31   2.3e+02   -0.7   0.0    79    93   357   371   342   423 0.68 2_5111 # 5560987 # 5563785 # 1 # ID=2_5111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.680
2:5560987-5563785|+  -            933 18426at72274         -            352   1.2e-05   23.2   0.2   3   3   2.9e-05     0.021   12.6   0.0     8    60   588   646   583   654 0.72 2_5111 # 5560987 # 5563785 # 1 # ID=2_5111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.680
2:1004652-1006928|+  -            759 18426at72274         -            352   1.5e-05   23.0   0.3   1   4   0.00023      0.17    9.6   0.0     6    59   185   235   180   240 0.83 2_945 # 1004652 # 1006928 # 1 # ID=2_945;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:1004652-1006928|+  -            759 18426at72274         -            352   1.5e-05   23.0   0.3   2   4      0.31   2.3e+02   -0.7   0.0    72    87   278   294   272   331 0.84 2_945 # 1004652 # 1006928 # 1 # ID=2_945;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:1004652-1006928|+  -            759 18426at72274         -            352   1.5e-05   23.0   0.3   3   4   0.00031      0.23    9.2   0.0    37    60   494   517   483   524 0.90 2_945 # 1004652 # 1006928 # 1 # ID=2_945;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:1004652-1006928|+  -            759 18426at72274         -            352   1.5e-05   23.0   0.3   4   4       3.2   2.3e+03   -4.0   0.0   133   167   657   692   653   695 0.79 2_945 # 1004652 # 1006928 # 1 # ID=2_945;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
