locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCACPHNA_00001	CDS	2763				hypothetical protein
NCACPHNA_00002	CDS	966				hypothetical protein
NCACPHNA_00003	CDS	513				hypothetical protein
NCACPHNA_00004	CDS	528				hypothetical protein
NCACPHNA_00005	CDS	852				hypothetical protein
NCACPHNA_00006	CDS	222				hypothetical protein
NCACPHNA_00007	CDS	1581				hypothetical protein
NCACPHNA_00008	CDS	918				hypothetical protein
NCACPHNA_00009	CDS	1536	tyrR_1			Transcriptional regulatory protein TyrR
NCACPHNA_00010	CDS	1743	nfdA_1	3.5.1.91		N-substituted formamide deformylase
NCACPHNA_00011	CDS	924	dmlR_1			HTH-type transcriptional regulator DmlR
NCACPHNA_00012	CDS	384	gcvH_1		COG0509	Glycine cleavage system H protein
NCACPHNA_00013	CDS	2880	gcvP_1	1.4.4.2		Glycine dehydrogenase (decarboxylating)
NCACPHNA_00014	CDS	1257	glyA_1	2.1.2.1	COG0112	Serine hydroxymethyltransferase
NCACPHNA_00015	CDS	1377	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
NCACPHNA_00016	CDS	1122	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
NCACPHNA_00017	CDS	705				hypothetical protein
NCACPHNA_00018	CDS	972				hypothetical protein
NCACPHNA_00019	CDS	2001				hypothetical protein
NCACPHNA_00020	CDS	1038				hypothetical protein
NCACPHNA_00021	CDS	1041				hypothetical protein
NCACPHNA_00022	CDS	435				hypothetical protein
NCACPHNA_00023	CDS	1986	cadA_1	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
NCACPHNA_00024	CDS	546				hypothetical protein
NCACPHNA_00025	CDS	270				putative protein
NCACPHNA_00026	CDS	915	dmlR_2			HTH-type transcriptional regulator DmlR
NCACPHNA_00027	CDS	2175	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
NCACPHNA_00028	CDS	210	aaeX_1			Protein AaeX
NCACPHNA_00029	CDS	1005	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
NCACPHNA_00030	CDS	246				hypothetical protein
NCACPHNA_00031	CDS	915		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
NCACPHNA_00032	CDS	1014				hypothetical protein
NCACPHNA_00033	CDS	564				hypothetical protein
NCACPHNA_00034	CDS	765	lgrE_1	1.1.-.-		Linear gramicidin dehydrogenase LgrE
NCACPHNA_00035	CDS	13029	lgrB_1			Linear gramicidin synthase subunit B
NCACPHNA_00036	CDS	798				hypothetical protein
NCACPHNA_00037	CDS	513				hypothetical protein
NCACPHNA_00038	CDS	315				hypothetical protein
NCACPHNA_00039	CDS	921				hypothetical protein
NCACPHNA_00040	CDS	1419	oprD_1	3.4.21.-		Porin D
NCACPHNA_00041	CDS	681	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
NCACPHNA_00042	CDS	861				hypothetical protein
NCACPHNA_00043	CDS	939	dmlR_3			HTH-type transcriptional regulator DmlR
NCACPHNA_00044	CDS	1638	treA	3.2.1.28	COG1626	Periplasmic trehalase
NCACPHNA_00045	CDS	426				hypothetical protein
NCACPHNA_00046	CDS	1320				hypothetical protein
NCACPHNA_00047	CDS	1410	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
NCACPHNA_00048	CDS	219	mbtH		COG3251	Protein MbtH
NCACPHNA_00049	CDS	765	lgrE_2	1.1.-.-		Linear gramicidin dehydrogenase LgrE
NCACPHNA_00050	CDS	918				hypothetical protein
NCACPHNA_00051	CDS	906	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
NCACPHNA_00052	CDS	756	znuC_1	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
NCACPHNA_00053	CDS	954	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
NCACPHNA_00054	CDS	561				hypothetical protein
NCACPHNA_00055	CDS	330				hypothetical protein
NCACPHNA_00056	CDS	540				hypothetical protein
NCACPHNA_00057	CDS	1212				hypothetical protein
NCACPHNA_00058	CDS	12411	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
NCACPHNA_00059	CDS	14976	lgrD_1			Linear gramicidin synthase subunit D
