All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    SRR15523609.finalassembly
# contigs (>= 0 bp)         2                        
# contigs (>= 1000 bp)      2                        
# contigs (>= 5000 bp)      2                        
# contigs (>= 10000 bp)     2                        
# contigs (>= 25000 bp)     2                        
# contigs (>= 50000 bp)     1                        
Total length (>= 0 bp)      7073246                  
Total length (>= 1000 bp)   7073246                  
Total length (>= 5000 bp)   7073246                  
Total length (>= 10000 bp)  7073246                  
Total length (>= 25000 bp)  7073246                  
Total length (>= 50000 bp)  7037089                  
# contigs                   2                        
Largest contig              7037089                  
Total length                7073246                  
GC (%)                      65.85                    
N50                         7037089                  
N90                         7037089                  
auN                         7001301.7                
L50                         1                        
L90                         1                        
# N's per 100 kbp           0.00                     
