#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:5456978-5457976|-  -            333 31831at72274         -            282    2e-106  353.8   0.0   1   1  3.8e-109  2.3e-106  353.6   0.0     2   282     7   325     6   325 0.91 2_5020 # 5456978 # 5457976 # -1 # ID=2_5020;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.713
2:896326-897156|+    -            277 31831at72274         -            282   7.3e-08   30.4   0.0   1   2   2.6e-08   1.5e-05   22.7   0.0    39   156    10   125     3   131 0.84 2_846 # 896326 # 897156 # 1 # ID=2_846;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.658
2:896326-897156|+    -            277 31831at72274         -            282   7.3e-08   30.4   0.0   2   2    0.0043       2.6    5.6   0.0   227   256   212   241   198   255 0.84 2_846 # 896326 # 897156 # 1 # ID=2_846;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.658
2:235844-236794|-    -            317 31831at72274         -            282   4.3e-06   24.5   0.2   1   1   2.4e-08   1.4e-05   22.8   0.2    48   165    24   147     7   267 0.77 2_222 # 235844 # 236794 # -1 # ID=2_222;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.685
2:2679784-2680623|-  -            280 31831at72274         -            282   0.00019   19.1   0.1   1   1   4.2e-07   0.00025   18.7   0.1    70   154    47   129     6   136 0.84 2_2469 # 2679784 # 2680623 # -1 # ID=2_2469;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.675
2:6487478-6488383|+  -            302 31831at72274         -            282   0.00061   17.5   0.0   1   2   1.6e-05    0.0098   13.5   0.0    31   152    46   171    33   187 0.71 2_5998 # 6487478 # 6488383 # 1 # ID=2_5998;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.685
2:6487478-6488383|+  -            302 31831at72274         -            282   0.00061   17.5   0.0   2   2     0.063        38    1.8   0.0   232   269   219   265   206   274 0.71 2_5998 # 6487478 # 6488383 # 1 # ID=2_5998;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.685
2:1886746-1888572|-  -            609 31831at72274         -            282     0.001   16.8   0.0   1   1     3e-06    0.0018   15.9   0.0    51   136   383   478   377   485 0.81 2_1691 # 1886746 # 1888572 # -1 # ID=2_1691;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.726
2:4461122-4461979|+  -            286 31831at72274         -            282    0.0021   15.7   0.0   1   2      0.43   2.6e+02   -1.0   0.0   120   143    94   117    57   135 0.74 2_4118 # 4461122 # 4461979 # 1 # ID=2_4118;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.672
2:4461122-4461979|+  -            286 31831at72274         -            282    0.0021   15.7   0.0   2   2   1.4e-05    0.0082   13.8   0.0   222   248   201   227   198   239 0.87 2_4118 # 4461122 # 4461979 # 1 # ID=2_4118;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.672
2:623167-624114|-    -            316 31831at72274         -            282    0.0038   14.9   0.2   1   3   2.1e-05     0.013   13.1   0.0    37   137    48   146    38   163 0.82 2_572 # 623167 # 624114 # -1 # ID=2_572;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
2:623167-624114|-    -            316 31831at72274         -            282    0.0038   14.9   0.2   2   3       2.9   1.7e+03   -3.7   0.0   134   146   210   222   210   228 0.72 2_572 # 623167 # 624114 # -1 # ID=2_572;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
2:623167-624114|-    -            316 31831at72274         -            282    0.0038   14.9   0.2   3   3      0.83     5e+02   -1.9   0.0   227   254   243   269   236   291 0.79 2_572 # 623167 # 624114 # -1 # ID=2_572;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
2:4341852-4342538|-  -            229 31831at72274         -            282     0.037   11.6   0.2   1   1   0.00016     0.093   10.3   0.2    48    78    24    54    20   188 0.90 2_4028 # 4341852 # 4342538 # -1 # ID=2_4028;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.665
2:418512-419369|+    -            286 31831at72274         -            282     0.043   11.4   0.2   1   2     0.058        35    1.9   0.1    51    90    66   106    56   166 0.70 2_387 # 418512 # 419369 # 1 # ID=2_387;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.698
2:418512-419369|+    -            286 31831at72274         -            282     0.043   11.4   0.2   2   2    0.0014      0.86    7.2   0.0   230   252   209   231   200   239 0.86 2_387 # 418512 # 419369 # 1 # ID=2_387;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.698
2:4483234-4484205|-  -            324 31831at72274         -            282     0.047   11.3   0.0   1   1    0.0001      0.06   10.9   0.0    54   162    37   146    12   204 0.81 2_4141 # 4483234 # 4484205 # -1 # ID=2_4141;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.666
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/31831at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/31831at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/31831at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:55:45 2024
# [ok]
