#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:3266091-3267089|+  -            333 31831at72274         -            282    2e-107  357.0   0.0   1   1    4e-110  2.4e-107  356.8   0.0     2   282     7   325     6   325 0.91 1_3026 # 3266091 # 3267089 # 1 # ID=1_3026;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.708
1:6586833-6587663|+  -            277 31831at72274         -            282     1e-07   29.8   0.0   1   2   3.7e-08   2.2e-05   22.2   0.0    39   156    10   125     3   131 0.83 1_6054 # 6586833 # 6587663 # 1 # ID=1_6054;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661
1:6586833-6587663|+  -            277 31831at72274         -            282     1e-07   29.8   0.0   2   2    0.0043       2.5    5.6   0.0   227   256   212   241   198   255 0.84 1_6054 # 6586833 # 6587663 # 1 # ID=1_6054;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661
1:5861859-5862809|-  -            317 31831at72274         -            282   3.8e-06   24.7   0.2   1   1   2.1e-08   1.3e-05   23.0   0.2    48   165    24   147     7   267 0.77 1_5359 # 5861859 # 5862809 # -1 # ID=1_5359;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.686
1:1474831-1475670|-  -            280 31831at72274         -            282   0.00012   19.7   0.1   1   1   2.7e-07   0.00016   19.4   0.1    70   154    47   129     6   136 0.85 1_1331 # 1474831 # 1475670 # -1 # ID=1_1331;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.687
1:627629-629455|-    -            609 31831at72274         -            282   0.00053   17.7   0.0   1   2   1.9e-06    0.0011   16.6   0.0    50   136   382   478   377   485 0.80 1_518 # 627629 # 629455 # -1 # ID=1_518;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.730
1:627629-629455|-    -            609 31831at72274         -            282   0.00053   17.7   0.0   2   2       2.7   1.6e+03   -3.6   0.0   218   250   527   559   499   568 0.73 1_518 # 627629 # 629455 # -1 # ID=1_518;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.730
1:4311868-4312725|-  -            286 31831at72274         -            282     0.002   15.7   0.0   1   2      0.43   2.5e+02   -1.0   0.0   120   143    94   117    57   135 0.74 1_3980 # 4311868 # 4312725 # -1 # ID=1_3980;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.668
1:4311868-4312725|-  -            286 31831at72274         -            282     0.002   15.7   0.0   2   2   1.4e-05    0.0081   13.8   0.0   222   248   201   227   198   239 0.87 1_3980 # 4311868 # 4312725 # -1 # ID=1_3980;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.668
1:6270809-6271756|-  -            316 31831at72274         -            282    0.0037   14.9   0.2   1   3   2.1e-05     0.013   13.1   0.0    37   137    48   146    38   163 0.82 1_5730 # 6270809 # 6271756 # -1 # ID=1_5730;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
1:6270809-6271756|-  -            316 31831at72274         -            282    0.0037   14.9   0.2   2   3       2.9   1.7e+03   -3.7   0.0   134   146   210   222   210   228 0.72 1_5730 # 6270809 # 6271756 # -1 # ID=1_5730;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
