# BUSCO version is: 5.7.1 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2024-01-08, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Complete	2:5770186-5774385	5770186	5774385	+	2457.6	1220	https://v10-1.orthodb.org/?query=207at72274	DNA-directed RNA polymerase subunit beta'
208at72274	Complete	2:5766047-5770120	5766047	5770120	+	2319.6	1156	https://v10-1.orthodb.org/?query=208at72274	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
209at72274	Complete	2:4431622-4436067	4436067	4431622	-	2303.5	1261	https://v10-1.orthodb.org/?query=209at72274	Glutamate synthase, alpha subunit, C-terminal
299at72274	Complete	2:241160-245140	241160	245140	+	1488.7	990	https://v10-1.orthodb.org/?query=299at72274	RNA helicase HrpA
391at72274	Complete	2:6405232-6409128	6405232	6409128	+	1899.1	1067	https://v10-1.orthodb.org/?query=391at72274	Phosphoribosylformylglycinamidine synthase
395at72274	Complete	2:2052889-2056593	2052889	2056593	+	2036.2	1057	https://v10-1.orthodb.org/?query=395at72274	Methionine synthase
436at72274	Complete	2:4105413-4108634	4108634	4105413	-	1793.7	903	https://v10-1.orthodb.org/?query=436at72274	Carbamoyl-phosphate synthase large chain
457at72274	Complete	2:3475199-3478936	3478936	3475199	-	876.7	764	https://v10-1.orthodb.org/?query=457at72274	UvrD-like DNA helicase, C-terminal
543at72274	Complete	2:3348117-3351299	3351299	3348117	-	1339.6	886	https://v10-1.orthodb.org/?query=543at72274	Proline dehydrogenase domain
606at72274	Complete	2:568193-571645	571645	568193	-	1553.9	932	https://v10-1.orthodb.org/?query=606at72274	Transcription-repair-coupling factor
712at72274	Complete	2:1149877-1153542	1149877	1153542	+	1071.5	1038	https://v10-1.orthodb.org/?query=712at72274	Translocation and assembly module TamB
813at72274	Complete	2:6329755-6332607	6332607	6329755	-	1323.7	727	https://v10-1.orthodb.org/?query=813at72274	Valine--tRNA ligase
865at72274	Complete	2:3873202-3876033	3876033	3873202	-	1238.7	756	https://v10-1.orthodb.org/?query=865at72274	Isoleucine--tRNA ligase
927at72274	Complete	2:2836789-2839680	2836789	2839680	+	1195.7	744	https://v10-1.orthodb.org/?query=927at72274	Ribonucleoside-diphosphate reductase
995at72274	Complete	2:6525852-6528554	6528554	6525852	-	1079.0	700	https://v10-1.orthodb.org/?query=995at72274	Bifunctional uridylyltransferase/uridylyl-removing enzyme
1004at72274	Complete	2:4396849-4399797	4399797	4396849	-	1026.6	689	https://v10-1.orthodb.org/?query=1004at72274	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1036at72274	Complete	2:4948719-4951460	4951460	4948719	-	1258.8	775	https://v10-1.orthodb.org/?query=1036at72274	DNA polymerase I
1067at72274	Complete	2:3330227-3332833	3330227	3332833	+	1479.6	753	https://v10-1.orthodb.org/?query=1067at72274	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
1242at72274	Complete	2:2169329-2171938	2169329	2171938	+	1494.9	749	https://v10-1.orthodb.org/?query=1242at72274	Aconitate hydratase B
1384at72274	Complete	2:559822-562428	559822	562428	+	1457.2	760	https://v10-1.orthodb.org/?query=1384at72274	DNA topoisomerase I, type IA
1440at72274	Complete	2:3607982-3610732	3610732	3607982	-	1460.4	795	https://v10-1.orthodb.org/?query=1440at72274	SecA, preprotein cross-linking domain
1456at72274	Complete	2:3478933-3482448	3482448	3478933	-	731.3	709	https://v10-1.orthodb.org/?query=1456at72274	RecBCD enzyme subunit RecC
1471at72274	Complete	2:378349-381120	378349	381120	+	1463.2	778	https://v10-1.orthodb.org/?query=1471at72274	DNA gyrase subunit A
1600at72274	Complete	2:6545973-6549494	6545973	6549494	+	1563.0	944	https://v10-1.orthodb.org/?query=1600at72274	DNA-directed DNA polymerase
1634at72274	Complete	2:2379956-2382787	2382787	2379956	-	1560.9	821	https://v10-1.orthodb.org/?query=1634at72274	2-oxoglutarate dehydrogenase E1 component
1707at72274	Complete	2:978792-981509	981509	978792	-	1230.9	713	https://v10-1.orthodb.org/?query=1707at72274	NADH-quinone oxidoreductase
1753at72274	Complete	2:469489-472146	469489	472146	+	1092.6	715	https://v10-1.orthodb.org/?query=1753at72274	Peptidase M1, alanyl aminopeptidase, C-terminal
1843at72274	Complete	2:4302618-4305332	4305332	4302618	-	997.4	631	https://v10-1.orthodb.org/?query=1843at72274	Ribonuclease R
1917at72274	Complete	2:5034957-5037377	5034957	5037377	+	1293.5	656	https://v10-1.orthodb.org/?query=1917at72274	DNA gyrase subunit B
1961at72274	Complete	2:5695613-5698384	5698384	5695613	-	874.5	697	https://v10-1.orthodb.org/?query=1961at72274	Organic solvent tolerance-like, N-terminal
1974at72274	Complete	2:5795071-5797908	5797908	5795071	-	1584.0	812	https://v10-1.orthodb.org/?query=1974at72274	UvrABC system protein A
1982at72274	Complete	2:226221-229067	229067	226221	-	1160.3	773	https://v10-1.orthodb.org/?query=1982at72274	SNF2-related, N-terminal domain
2019at72274	Complete	2:4292578-4294821	4294821	4292578	-	1354.6	649	https://v10-1.orthodb.org/?query=2019at72274	Radical SAM
2112at72274	Complete	2:6567560-6570127	6570127	6567560	-	1209.9	731	https://v10-1.orthodb.org/?query=2112at72274	DNA mismatch repair protein MutS
2210at72274	Complete	2:3853653-3856217	3856217	3853653	-	1324.3	699	https://v10-1.orthodb.org/?query=2210at72274	Clp, N-terminal
2251at72274	Complete	2:3469380-3473015	3469380	3473015	+	825.7	910	https://v10-1.orthodb.org/?query=2251at72274	Chromosome segregation protein SMC
2303at72274	Complete	2:2438624-2441008	2441008	2438624	-	810.8	531	https://v10-1.orthodb.org/?query=2303at72274	DNA ligase
2348at72274	Complete	2:2190563-2192938	2192938	2190563	-	1405.4	697	https://v10-1.orthodb.org/?query=2348at72274	PEP-utilising enzyme, C-terminal
2487at72274	Complete	2:1004652-1006928	1004652	1006928	+	1250.9	669	https://v10-1.orthodb.org/?query=2487at72274	Clp, N-terminal
2667at72274	Complete	2:6494287-6496923	6494287	6496923	+	1145.4	749	https://v10-1.orthodb.org/?query=2667at72274	Phosphoenolpyruvate carboxylase
2718at72274	Complete	2:4092976-4095498	4095498	4092976	-	1218.2	702	https://v10-1.orthodb.org/?query=2718at72274	Translation initiation factor IF-2
2722at72274	Complete	2:3186889-3189513	3189513	3186889	-	1360.0	746	https://v10-1.orthodb.org/?query=2722at72274	Alanine--tRNA ligase
2787at72274	Complete	2:4617494-4619833	4617494	4619833	+	985.2	598	https://v10-1.orthodb.org/?query=2787at72274	YqgF/RNase H-like domain
2855at72274	Complete	2:4336145-4338409	4338409	4336145	-	1119.9	628	https://v10-1.orthodb.org/?query=2855at72274	DNA topoisomerase, type IIA, subunit A/C-terminal
2861at72274	Complete	2:4043517-4045841	4045841	4043517	-	950.3	612	https://v10-1.orthodb.org/?query=2861at72274	Penicillin-binding protein 1B
2968at72274	Complete	2:999845-1002070	1002070	999845	-	1147.4	657	https://v10-1.orthodb.org/?query=2968at72274	Isocitrate dehydrogenase
2971at72274	Complete	2:3889304-3891757	3891757	3889304	-	796.7	569	https://v10-1.orthodb.org/?query=2971at72274	Endopeptidase La
3072at72274	Complete	2:518589-520766	518589	520766	+	861.8	572	https://v10-1.orthodb.org/?query=3072at72274	23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))- methyltransferase
3123at72274	Complete	2:5041116-5043173	5043173	5041116	-	907.3	577	https://v10-1.orthodb.org/?query=3123at72274	Glycine--tRNA ligase beta subunit
3150at72274	Complete	2:384561-386801	384561	386801	+	679.3	423	https://v10-1.orthodb.org/?query=3150at72274	3-phosphoshikimate 1-carboxyvinyltransferase
3242at72274	Complete	2:6134452-6137073	6137073	6134452	-	1351.5	732	https://v10-1.orthodb.org/?query=3242at72274	Leucine--tRNA ligase
3277at72274	Complete	2:291103-293232	293232	291103	-	885.3	595	https://v10-1.orthodb.org/?query=3277at72274	Tail specific protease
3392at72274	Complete	2:4444818-4447289	4444818	4447289	+	1030.2	624	https://v10-1.orthodb.org/?query=3392at72274	Penicillin-binding protein, OB-like domain
3393at72274	Complete	2:3120110-3122887	3120110	3122887	+	911.1	681	https://v10-1.orthodb.org/?query=3393at72274	Histidine kinase
3407at72274	Complete	2:39000-41033	41033	39000	-	1013.4	571	https://v10-1.orthodb.org/?query=3407at72274	Methionine--tRNA ligase
3448at72274	Complete	2:827133-829055	827133	829055	+	1163.2	569	https://v10-1.orthodb.org/?query=3448at72274	Threonine--tRNA ligase
3460at72274	Complete	2:555921-558068	555921	558068	+	1022.7	611	https://v10-1.orthodb.org/?query=3460at72274	3-hydroxyacyl-CoA dehydrogenase, C-terminal
3513at72274	Complete	2:4777926-4780001	4777926	4780001	+	923.6	556	https://v10-1.orthodb.org/?query=3513at72274	Helicase, C-terminal
3634at72274	Complete	2:2383763-2385535	2385535	2383763	-	914.6	505	https://v10-1.orthodb.org/?query=3634at72274	Succinate dehydrogenase flavoprotein subunit
3680at72274	Complete	2:831391-833769	831391	833769	+	1012.3	652	https://v10-1.orthodb.org/?query=3680at72274	Phenylalanine--tRNA ligase beta subunit
3705at72274	Complete	2:4727630-4729639	4727630	4729639	+	968.4	550	https://v10-1.orthodb.org/?query=3705at72274	UvrD-like DNA helicase, C-terminal
3912at72274	Complete	2:5649174-5651171	5649174	5651171	+	1048.8	555	https://v10-1.orthodb.org/?query=3912at72274	Transketolase
3949at72274	Complete	2:4451419-4453638	4451419	4453638	+	911.9	612	https://v10-1.orthodb.org/?query=3949at72274	Primosomal protein N'
