# BUSCO version is: 5.7.1 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2024-01-08, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Complete	1:3350919-3355118	3350919	3355118	+	2457.6	1220	https://v10-1.orthodb.org/?query=207at72274	DNA-directed RNA polymerase subunit beta'
208at72274	Complete	1:3346780-3350853	3346780	3350853	+	2319.6	1156	https://v10-1.orthodb.org/?query=208at72274	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
209at72274	Complete	1:1960120-1964565	1964565	1960120	-	2303.3	1261	https://v10-1.orthodb.org/?query=209at72274	Glutamate synthase, alpha subunit, C-terminal
299at72274	Complete	1:4467963-4471943	4467963	4471943	+	1487.1	988	https://v10-1.orthodb.org/?query=299at72274	RNA helicase HrpA
391at72274	Complete	1:3899578-3903474	3899578	3903474	+	1898.1	1067	https://v10-1.orthodb.org/?query=391at72274	Phosphoribosylformylglycinamidine synthase
395at72274	Complete	3:496981-500685	496981	500685	+	2035.9	1057	https://v10-1.orthodb.org/?query=395at72274	Methionine synthase
436at72274	Complete	1:1631217-1634438	1634438	1631217	-	1795.5	903	https://v10-1.orthodb.org/?query=436at72274	Carbamoyl-phosphate synthase large chain
457at72274	Complete	1:974861-978598	978598	974861	-	881.5	766	https://v10-1.orthodb.org/?query=457at72274	UvrD-like DNA helicase, C-terminal
543at72274	Complete	1:746463-749645	749645	746463	-	1341.0	886	https://v10-1.orthodb.org/?query=543at72274	Proline dehydrogenase domain
606at72274	Complete	1:4816617-4820069	4820069	4816617	-	1551.2	932	https://v10-1.orthodb.org/?query=606at72274	Transcription-repair-coupling factor
712at72274	Complete	2:290946-294611	290946	294611	+	1074.9	1038	https://v10-1.orthodb.org/?query=712at72274	Translocation and assembly module TamB
813at72274	Complete	1:3824822-3827674	3827674	3824822	-	1323.7	727	https://v10-1.orthodb.org/?query=813at72274	Valine--tRNA ligase
865at72274	Complete	1:1369335-1372166	1372166	1369335	-	1239.6	756	https://v10-1.orthodb.org/?query=865at72274	Isoleucine--tRNA ligase
927at72274	Complete	1:229427-232318	229427	232318	+	1195.7	744	https://v10-1.orthodb.org/?query=927at72274	Ribonucleoside-diphosphate reductase
995at72274	Complete	1:4073772-4076474	4076474	4073772	-	1080.1	700	https://v10-1.orthodb.org/?query=995at72274	Bifunctional uridylyltransferase/uridylyl-removing enzyme
1004at72274	Complete	1:1925332-1928280	1928280	1925332	-	1026.6	689	https://v10-1.orthodb.org/?query=1004at72274	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
