#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:6567170-6567493|-  -            108 62565at72274         -             93     4e-52  173.1  13.3   1   1   1.1e-54   6.8e-52  172.3  13.3     1    92     1   106     1   107 0.85 2_6072 # 6567170 # 6567493 # -1 # ID=2_6072;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.586
2:898533-898871|-    -            113 62565at72274         -             93   1.7e-41  139.0   6.1   1   1   3.6e-44   2.2e-41  138.6   6.1     1    82     1    87     1    95 0.93 2_848 # 898533 # 898871 # -1 # ID=2_848;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:1503178-1503423|+  -             82 62565at72274         -             93   2.2e-05   23.3   8.1   1   2     0.039        24    3.9   0.3    22    45     5    28     2    32 0.80 2_1346 # 1503178 # 1503423 # 1 # ID=2_1346;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
2:1503178-1503423|+  -             82 62565at72274         -             93   2.2e-05   23.3   8.1   2   2   1.3e-07   7.7e-05   21.5   8.3     6    57    20    74    15    78 0.83 2_1346 # 1503178 # 1503423 # 1 # ID=2_1346;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
2:977240-977788|-    -            183 62565at72274         -             93     6e-05   21.9   7.2   1   2    0.0021       1.3    8.0   1.1    27    55    46    77    38    87 0.78 2_921 # 977240 # 977788 # -1 # ID=2_921;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
2:977240-977788|-    -            183 62565at72274         -             93     6e-05   21.9   7.2   2   2   2.8e-06    0.0017   17.2   0.6    30    56    91   117    86   129 0.90 2_921 # 977240 # 977788 # -1 # ID=2_921;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
2:5450897-5451148|-  -             84 62565at72274         -             93   8.4e-05   21.4  16.6   1   2   2.8e-07   0.00017   20.4   4.0    37    61     6    30     2    33 0.89 2_5013 # 5450897 # 5451148 # -1 # ID=2_5013;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
2:5450897-5451148|-  -             84 62565at72274         -             93   8.4e-05   21.4  16.6   2   2     0.025        15    4.6   5.2    13    26    46    59    32    71 0.72 2_5013 # 5450897 # 5451148 # -1 # ID=2_5013;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
2:35135-35701|-      -            189 62565at72274         -             93    0.0016   17.3  20.0   1   3       2.4   1.4e+03   -1.8   0.1    39    61    48    70    38    73 0.58 2_30 # 35135 # 35701 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705
2:35135-35701|-      -            189 62565at72274         -             93    0.0016   17.3  20.0   2   3   3.3e-05      0.02   13.8   1.3    22    61    94   134    89   140 0.78 2_30 # 35135 # 35701 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705
2:35135-35701|-      -            189 62565at72274         -             93    0.0016   17.3  20.0   3   3     1e-05    0.0061   15.4  11.5     3    63   107   165   105   170 0.81 2_30 # 35135 # 35701 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705
