#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:2383044-2383751|-  -            236 35275at72274         -            209    2e-129  427.6   0.4   1   1  1.9e-132  2.5e-129  427.3   0.4     1   209     6   231     6   231 0.95 2_2190 # 2383044 # 2383751 # -1 # ID=2_2190;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.613
2:4784838-4786064|-  -            409 35275at72274         -            209    0.0002   19.4   1.0   1   1   2.8e-07   0.00037   18.5   1.0   113   200    14    94     3   102 0.77 2_4419 # 4784838 # 4786064 # -1 # ID=2_4419;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.721
2:4842992-4844953|+  -            654 35275at72274         -            209     0.014   13.3   0.6   1   2    0.0018       2.3    6.1   0.1   115   139   236   260   217   278 0.76 2_4465 # 4842992 # 4844953 # 1 # ID=2_4465;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699
2:4842992-4844953|+  -            654 35275at72274         -            209     0.014   13.3   0.6   2   2    0.0032       4.3    5.2   0.1   172   208   314   350   309   351 0.81 2_4465 # 4842992 # 4844953 # 1 # ID=2_4465;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699
2:2417677-2419092|+  -            472 35275at72274         -            209       1.1    7.1  10.3   1   3    0.0071       9.3    4.1   1.0   117   136   263   282   247   285 0.84 2_2225 # 2417677 # 2419092 # 1 # ID=2_2225;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
2:2417677-2419092|+  -            472 35275at72274         -            209       1.1    7.1  10.3   2   3     0.012        16    3.4   1.1   119   138   288   308   284   321 0.81 2_2225 # 2417677 # 2419092 # 1 # ID=2_2225;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
2:2417677-2419092|+  -            472 35275at72274         -            209       1.1    7.1  10.3   3   3    0.0095        12    3.7   0.0    58    93   349   384   340   404 0.79 2_2225 # 2417677 # 2419092 # 1 # ID=2_2225;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
2:32814-35138|-      -            775 35275at72274         -            209       2.8    5.8   5.9   1   2     0.044        57    1.5   0.4   171   199   359   387   352   401 0.81 2_29 # 32814 # 35138 # -1 # ID=2_29;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
2:32814-35138|-      -            775 35275at72274         -            209       2.8    5.8   5.9   2   2    0.0011       1.5    6.8   0.7   119   145   403   429   391   464 0.72 2_29 # 32814 # 35138 # -1 # ID=2_29;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/35275at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/35275at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/35275at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:55:53 2024
# [ok]
