#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:6396308-6397267|-  -            320 30337at72274         -            247  2.6e-128  425.2   9.3   1   1  3.8e-130  3.5e-127  421.5   9.3     1   246    29   315    29   316 0.93 1_5853 # 6396308 # 6397267 # -1 # ID=1_5853;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
1:3368570-3369328|+  -            253 30337at72274         -            247   1.5e-07   29.7   0.1   1   2   7.6e-09   7.1e-06   24.2   0.1    90   129   101   140    72   151 0.83 1_3123 # 3368570 # 3369328 # 1 # ID=1_3123;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.685
1:3368570-3369328|+  -            253 30337at72274         -            247   1.5e-07   29.7   0.1   2   2     0.019        18    3.2   0.0   183   247   179   245   169   245 0.72 1_3123 # 3368570 # 3369328 # 1 # ID=1_3123;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.685
1:238147-239691|-    -            515 30337at72274         -            247   5.3e-07   27.9   0.6   1   3      0.44   4.1e+02   -1.2   0.0   175   189   189   203   185   229 0.80 1_168 # 238147 # 239691 # -1 # ID=1_168;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
1:238147-239691|-    -            515 30337at72274         -            247   5.3e-07   27.9   0.6   2   3    0.0012       1.1    7.2   0.0   102   129   283   310   277   328 0.87 1_168 # 238147 # 239691 # -1 # ID=1_168;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
1:238147-239691|-    -            515 30337at72274         -            247   5.3e-07   27.9   0.6   3   3   1.1e-06     0.001   17.1   0.2   187   219   362   394   347   410 0.87 1_168 # 238147 # 239691 # -1 # ID=1_168;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
1:241019-242476|-    -            486 30337at72274         -            247    0.0009   17.3   1.0   1   3   0.00043       0.4    8.6   0.0   108   137   286   318   281   325 0.79 1_171 # 241019 # 242476 # -1 # ID=1_171;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.700
1:241019-242476|-    -            486 30337at72274         -            247    0.0009   17.3   1.0   2   3    0.0019       1.8    6.5   0.1   188   218   359   389   354   414 0.73 1_171 # 241019 # 242476 # -1 # ID=1_171;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.700
1:241019-242476|-    -            486 30337at72274         -            247    0.0009   17.3   1.0   3   3       1.5   1.4e+03   -3.0   0.0   231   245   435   449   428   450 0.85 1_171 # 241019 # 242476 # -1 # ID=1_171;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.700
1:1794686-1796119|+  -            478 30337at72274         -            247    0.0013   16.8   0.1   1   1   1.6e-05     0.015   13.3   0.1    84   244    94   247    63   250 0.70 1_1638 # 1794686 # 1796119 # 1 # ID=1_1638;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662
1:4323642-4325081|+  -            480 30337at72274         -            247    0.0079   14.2   0.0   1   2   0.00011       0.1   10.6   0.0    65   127    74   132    61   140 0.73 1_3990 # 4323642 # 4325081 # 1 # ID=1_3990;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.664
1:4323642-4325081|+  -            480 30337at72274         -            247    0.0079   14.2   0.0   2   2     0.082        76    1.1   0.0   181   220   167   211   160   249 0.75 1_3990 # 4323642 # 4325081 # 1 # ID=1_3990;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.664
1:4836521-4837342|+  -            274 30337at72274         -            247     0.059   11.4   0.0   1   2   0.00039      0.37    8.7   0.0   101   125   123   149    70   161 0.75 1_4429 # 4836521 # 4837342 # 1 # ID=1_4429;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.662
1:4836521-4837342|+  -            274 30337at72274         -            247     0.059   11.4   0.0   2   2      0.15   1.4e+02    0.3   0.0   189   246   195   256   187   257 0.66 1_4429 # 4836521 # 4837342 # 1 # ID=1_4429;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.662
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30337at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/30337at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30337at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:47:21 2024
# [ok]
