locus_tag	ftype	length_bp	gene	EC_number	COG	product
ANBPDDAH_00001	CDS	1239				hypothetical protein
ANBPDDAH_00002	CDS	93				hypothetical protein
ANBPDDAH_00003	CDS	327				hypothetical protein
ANBPDDAH_00004	CDS	831	parA_1			Chromosome partitioning protein ParA
ANBPDDAH_00005	CDS	1443				hypothetical protein
ANBPDDAH_00006	CDS	861	parB_1		COG1475	putative chromosome-partitioning protein ParB
ANBPDDAH_00007	CDS	387	walR_1		COG0745	Transcriptional regulatory protein WalR
ANBPDDAH_00008	CDS	2010				hypothetical protein
ANBPDDAH_00009	CDS	255				hypothetical protein
ANBPDDAH_00010	CDS	5766	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
ANBPDDAH_00011	CDS	933	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
ANBPDDAH_00012	CDS	1038	recA_1		COG0468	Protein RecA
ANBPDDAH_00013	CDS	897				hypothetical protein
ANBPDDAH_00014	CDS	546				hypothetical protein
ANBPDDAH_00015	CDS	1569	rpoS_1			RNA polymerase sigma factor RpoS
ANBPDDAH_00016	CDS	1107	dnaN_1		COG0592	Beta sliding clamp
ANBPDDAH_00017	CDS	1032				hypothetical protein
ANBPDDAH_00018	CDS	753				hypothetical protein
ANBPDDAH_00019	CDS	1413	sbcB_1	3.1.11.1	COG2925	Exodeoxyribonuclease I
ANBPDDAH_00020	CDS	822				hypothetical protein
ANBPDDAH_00021	CDS	693				hypothetical protein
ANBPDDAH_00022	CDS	1377				hypothetical protein
ANBPDDAH_00023	CDS	213				hypothetical protein
ANBPDDAH_00024	CDS	495				hypothetical protein
ANBPDDAH_00025	CDS	1833	noc			Nucleoid occlusion protein
ANBPDDAH_00026	CDS	777				hypothetical protein
ANBPDDAH_00027	CDS	465				hypothetical protein
ANBPDDAH_00028	CDS	363				hypothetical protein
ANBPDDAH_00029	CDS	321				hypothetical protein
ANBPDDAH_00030	CDS	399				hypothetical protein
ANBPDDAH_00031	CDS	696				hypothetical protein
ANBPDDAH_00032	CDS	1188				hypothetical protein
ANBPDDAH_00033	CDS	360				hypothetical protein
ANBPDDAH_00034	CDS	327				hypothetical protein
ANBPDDAH_00035	CDS	177	csrA1			Translational regulator CsrA1
ANBPDDAH_00036	CDS	336				hypothetical protein
ANBPDDAH_00037	CDS	276				hypothetical protein
ANBPDDAH_00038	CDS	705				hypothetical protein
ANBPDDAH_00039	CDS	246				hypothetical protein
ANBPDDAH_00040	CDS	921	rdgC_1		COG2974	Recombination-associated protein RdgC
ANBPDDAH_00041	CDS	228				hypothetical protein
ANBPDDAH_00042	CDS	687				hypothetical protein
ANBPDDAH_00043	CDS	204				hypothetical protein
ANBPDDAH_00044	CDS	411				hypothetical protein
ANBPDDAH_00045	CDS	717				hypothetical protein
ANBPDDAH_00046	CDS	276				hypothetical protein
ANBPDDAH_00047	CDS	402				hypothetical protein
ANBPDDAH_00048	CDS	243				hypothetical protein
ANBPDDAH_00049	CDS	456				hypothetical protein
ANBPDDAH_00050	CDS	396	walR_2		COG0745	Transcriptional regulatory protein WalR
ANBPDDAH_00051	CDS	327				hypothetical protein
ANBPDDAH_00052	CDS	573				hypothetical protein
ANBPDDAH_00053	CDS	1119				hypothetical protein
ANBPDDAH_00054	CDS	528				hypothetical protein
ANBPDDAH_00055	CDS	237				hypothetical protein
ANBPDDAH_00056	CDS	837				hypothetical protein
ANBPDDAH_00057	CDS	333				hypothetical protein
ANBPDDAH_00058	CDS	639				hypothetical protein
ANBPDDAH_00059	CDS	120				hypothetical protein
ANBPDDAH_00060	CDS	342				hypothetical protein
ANBPDDAH_00061	CDS	237				hypothetical protein
ANBPDDAH_00062	CDS	528				hypothetical protein
ANBPDDAH_00063	CDS	420				hypothetical protein
ANBPDDAH_00064	CDS	663	yiaD_1		COG2885	putative lipoprotein YiaD
ANBPDDAH_00065	CDS	282				hypothetical protein
ANBPDDAH_00066	CDS	849				hypothetical protein
ANBPDDAH_00067	CDS	309				hypothetical protein
ANBPDDAH_00068	CDS	387				hypothetical protein
ANBPDDAH_00069	CDS	300				hypothetical protein
ANBPDDAH_00070	CDS	288				hypothetical protein
ANBPDDAH_00071	CDS	198				hypothetical protein
ANBPDDAH_00072	CDS	666				hypothetical protein
ANBPDDAH_00073	CDS	489				hypothetical protein
ANBPDDAH_00074	CDS	282				hypothetical protein
ANBPDDAH_00075	CDS	591				hypothetical protein
ANBPDDAH_00076	CDS	597	sspA_1		COG0625	Stringent starvation protein A
ANBPDDAH_00077	CDS	1155				hypothetical protein
ANBPDDAH_00078	CDS	228				hypothetical protein
ANBPDDAH_00079	CDS	201				hypothetical protein
ANBPDDAH_00080	CDS	1176				hypothetical protein
ANBPDDAH_00081	CDS	612				hypothetical protein
ANBPDDAH_00082	CDS	582				hypothetical protein
ANBPDDAH_00083	CDS	750				hypothetical protein
ANBPDDAH_00084	CDS	402				hypothetical protein
ANBPDDAH_00085	CDS	291				hypothetical protein
ANBPDDAH_00086	CDS	240				hypothetical protein
ANBPDDAH_00087	CDS	597				hypothetical protein
ANBPDDAH_00088	CDS	168				hypothetical protein
ANBPDDAH_00089	CDS	204				hypothetical protein
ANBPDDAH_00090	CDS	351				hypothetical protein
ANBPDDAH_00091	CDS	192				hypothetical protein
ANBPDDAH_00092	CDS	642				hypothetical protein
ANBPDDAH_00093	CDS	1359				hypothetical protein
ANBPDDAH_00094	CDS	969				hypothetical protein
ANBPDDAH_00095	CDS	714				hypothetical protein
ANBPDDAH_00096	CDS	249				hypothetical protein
ANBPDDAH_00097	CDS	429				hypothetical protein
ANBPDDAH_00098	CDS	1017	yejK_1		COG3081	Nucleoid-associated protein YejK
ANBPDDAH_00099	CDS	732				hypothetical protein
ANBPDDAH_00100	CDS	450				hypothetical protein
ANBPDDAH_00101	CDS	303				hypothetical protein
ANBPDDAH_00102	CDS	591				hypothetical protein
ANBPDDAH_00103	CDS	633				hypothetical protein
ANBPDDAH_00104	CDS	876				hypothetical protein
ANBPDDAH_00105	CDS	555				hypothetical protein
ANBPDDAH_00106	CDS	621				hypothetical protein
ANBPDDAH_00107	CDS	330				hypothetical protein
ANBPDDAH_00108	CDS	657				hypothetical protein
ANBPDDAH_00109	CDS	336				hypothetical protein
ANBPDDAH_00110	CDS	450				hypothetical protein
ANBPDDAH_00111	CDS	333				hypothetical protein
ANBPDDAH_00112	CDS	390				hypothetical protein
ANBPDDAH_00113	CDS	1815				hypothetical protein
ANBPDDAH_00114	CDS	426				hypothetical protein
ANBPDDAH_00115	CDS	234				hypothetical protein
ANBPDDAH_00116	CDS	492				hypothetical protein
ANBPDDAH_00117	CDS	660				hypothetical protein
ANBPDDAH_00118	CDS	552				hypothetical protein
ANBPDDAH_00119	CDS	378				hypothetical protein
ANBPDDAH_00120	CDS	261				hypothetical protein
ANBPDDAH_00121	CDS	621				hypothetical protein
ANBPDDAH_00122	CDS	324				hypothetical protein
ANBPDDAH_00123	CDS	417				hypothetical protein
ANBPDDAH_00124	CDS	954				hypothetical protein
ANBPDDAH_00125	CDS	450				hypothetical protein
ANBPDDAH_00126	CDS	630				hypothetical protein
ANBPDDAH_00127	CDS	1506				hypothetical protein
ANBPDDAH_00128	CDS	549				hypothetical protein
ANBPDDAH_00129	CDS	948				hypothetical protein
ANBPDDAH_00130	CDS	249				hypothetical protein
ANBPDDAH_00131	CDS	222				hypothetical protein
ANBPDDAH_00132	CDS	342				hypothetical protein
ANBPDDAH_00133	CDS	162				hypothetical protein
ANBPDDAH_00134	CDS	240				hypothetical protein
ANBPDDAH_00135	CDS	438				hypothetical protein
ANBPDDAH_00136	CDS	501				hypothetical protein
ANBPDDAH_00137	CDS	498				hypothetical protein
ANBPDDAH_00138	CDS	273				hypothetical protein
ANBPDDAH_00139	CDS	408				hypothetical protein
ANBPDDAH_00140	CDS	363				hypothetical protein
ANBPDDAH_00141	CDS	456				hypothetical protein
ANBPDDAH_00142	CDS	564				hypothetical protein
ANBPDDAH_00143	CDS	645				hypothetical protein
ANBPDDAH_00144	CDS	375				hypothetical protein
ANBPDDAH_00145	CDS	363				hypothetical protein
ANBPDDAH_00146	CDS	438				hypothetical protein
ANBPDDAH_00147	CDS	303				hypothetical protein
ANBPDDAH_00148	CDS	747				hypothetical protein
ANBPDDAH_00149	CDS	513				hypothetical protein
ANBPDDAH_00150	CDS	564				hypothetical protein
ANBPDDAH_00151	CDS	1116				hypothetical protein
ANBPDDAH_00152	CDS	1530	rssB_1			Regulator of RpoS
ANBPDDAH_00153	CDS	1233				hypothetical protein
ANBPDDAH_00154	CDS	318				hypothetical protein
ANBPDDAH_00155	CDS	1371	dnaG_1	2.7.7.-		DNA primase
ANBPDDAH_00156	CDS	732				hypothetical protein
ANBPDDAH_00157	CDS	327				hypothetical protein
ANBPDDAH_00158	CDS	1014				hypothetical protein
ANBPDDAH_00159	CDS	1053				hypothetical protein
ANBPDDAH_00160	CDS	438				hypothetical protein
ANBPDDAH_00161	CDS	213				hypothetical protein
ANBPDDAH_00162	CDS	939				hypothetical protein
ANBPDDAH_00163	CDS	2043				hypothetical protein
ANBPDDAH_00164	CDS	1407				hypothetical protein
ANBPDDAH_00165	CDS	894				hypothetical protein
ANBPDDAH_00166	CDS	804				hypothetical protein
ANBPDDAH_00167	CDS	705				hypothetical protein
ANBPDDAH_00168	CDS	660				hypothetical protein
ANBPDDAH_00169	CDS	1278				hypothetical protein
ANBPDDAH_00170	CDS	393				hypothetical protein
ANBPDDAH_00171	CDS	2949				hypothetical protein
ANBPDDAH_00172	CDS	474				hypothetical protein
ANBPDDAH_00173	CDS	324				hypothetical protein
ANBPDDAH_00174	CDS	1524				hypothetical protein
ANBPDDAH_00175	CDS	795				hypothetical protein
ANBPDDAH_00176	CDS	627				hypothetical protein
ANBPDDAH_00177	CDS	378				hypothetical protein
ANBPDDAH_00178	CDS	396				hypothetical protein
ANBPDDAH_00179	CDS	351				hypothetical protein
ANBPDDAH_00180	CDS	342				hypothetical protein
ANBPDDAH_00181	CDS	1812				hypothetical protein
ANBPDDAH_00182	CDS	2217	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
ANBPDDAH_00183	CDS	486				hypothetical protein
ANBPDDAH_00184	CDS	273	hupB_1		COG0776	DNA-binding protein HU-beta
ANBPDDAH_00185	CDS	321				hypothetical protein
ANBPDDAH_00186	CDS	348				hypothetical protein
ANBPDDAH_00187	CDS	423	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
ANBPDDAH_00188	CDS	579				hypothetical protein
ANBPDDAH_00189	CDS	1716				hypothetical protein
ANBPDDAH_00190	CDS	336				hypothetical protein
ANBPDDAH_00191	CDS	336				hypothetical protein
ANBPDDAH_00192	CDS	600				hypothetical protein
ANBPDDAH_00193	CDS	1191				hypothetical protein
ANBPDDAH_00194	CDS	1074				hypothetical protein
ANBPDDAH_00195	CDS	984				hypothetical protein
ANBPDDAH_00196	CDS	492				hypothetical protein
ANBPDDAH_00197	CDS	2967				Tn3 family transposase TnAs3
ANBPDDAH_00198	CDS	561	hin		COG1961	DNA-invertase hin
ANBPDDAH_00199	CDS	351				hypothetical protein
ANBPDDAH_00200	CDS	1014	xerC_1			Tyrosine recombinase XerC
ANBPDDAH_00201	CDS	936				hypothetical protein
ANBPDDAH_00202	CDS	1044				IS110 family transposase ISPa21
ANBPDDAH_00203	CDS	318	gdx_1			Guanidinium exporter
ANBPDDAH_00204	CDS	1044				IS110 family transposase ISPa21
ANBPDDAH_00205	CDS	840	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
ANBPDDAH_00206	CDS	501				hypothetical protein
ANBPDDAH_00207	CDS	903				hypothetical protein
ANBPDDAH_00208	CDS	1680				hypothetical protein
ANBPDDAH_00209	CDS	708			COG2200	putative signaling protein
ANBPDDAH_00210	CDS	237				hypothetical protein
ANBPDDAH_00211	CDS	363				hypothetical protein
ANBPDDAH_00212	CDS	1695	merA	1.16.1.1		Mercuric reductase
ANBPDDAH_00213	CDS	462	merC			Mercuric transport protein MerC
ANBPDDAH_00214	CDS	276	merP			Mercuric transport protein periplasmic component
ANBPDDAH_00215	CDS	351	merT			Mercuric transport protein MerT
ANBPDDAH_00216	CDS	435				ISL3 family transposase ISStma11
