#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:2766889-2769720|-  -            944 865at72274           -            757         0 1239.6   0.1   1   1         0         0 1233.3   0.1     1   757     3   943     3   943 0.88 1_2558 # 2766889 # 2769720 # -1 # ID=1_2558;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.648
1:5224037-5226889|-  -            951 865at72274           -            757   1.6e-33  114.2   7.9   1   3   1.4e-15   1.8e-12   44.6   0.0    40   220    32   237     9   289 0.78 1_4778 # 5224037 # 5226889 # -1 # ID=1_4778;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
1:5224037-5226889|-  -            951 865at72274           -            757   1.6e-33  114.2   7.9   2   3   3.9e-16   5.1e-13   46.4   5.7   332   519   376   571   362   595 0.67 1_4778 # 5224037 # 5226889 # -1 # ID=1_4778;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
1:5224037-5226889|-  -            951 865at72274           -            757   1.6e-33  114.2   7.9   3   3   1.5e-06    0.0019   14.8   0.0   515   658   606   766   576   778 0.74 1_4778 # 5224037 # 5226889 # -1 # ID=1_4778;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654
1:5053447-5056110|-  -            888 865at72274           -            757   2.5e-17   60.7   0.4   1   3   5.7e-13   7.4e-10   36.0   0.0    31   131    25   127     6   146 0.87 1_4619 # 5053447 # 5056110 # -1 # ID=1_4619;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.645
1:5053447-5056110|-  -            888 865at72274           -            757   2.5e-17   60.7   0.4   2   3   1.7e-06    0.0022   14.6   0.1   249   393   312   464   227   475 0.63 1_4619 # 5053447 # 5056110 # -1 # ID=1_4619;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.645
1:5053447-5056110|-  -            888 865at72274           -            757   2.5e-17   60.7   0.4   3   3   0.00079         1    5.7   0.0   494   540   639   690   585   710 0.71 1_4619 # 5053447 # 5056110 # -1 # ID=1_4619;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.645
1:5658323-5660359|-  -            679 865at72274           -            757   1.3e-12   45.1   0.1   1   3   4.2e-14   5.5e-11   39.7   0.0    40   115     6    79     1   112 0.75 1_5169 # 5658323 # 5660359 # -1 # ID=1_5169;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.659
1:5658323-5660359|-  -            679 865at72274           -            757   1.3e-12   45.1   0.1   2   3      0.32   4.2e+02   -2.9   0.0   428   456   205   233   191   241 0.78 1_5169 # 5658323 # 5660359 # -1 # ID=1_5169;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.659
1:5658323-5660359|-  -            679 865at72274           -            757   1.3e-12   45.1   0.1   3   3    0.0067       8.7    2.7   0.0   480   526   312   360   285   391 0.77 1_5169 # 5658323 # 5660359 # -1 # ID=1_5169;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.659
1:945916-947298|-    -            461 865at72274           -            757   1.5e-06   25.1   0.0   1   2    0.0067       8.8    2.6   0.1    54   131    36   115    25   131 0.74 1_832 # 945916 # 947298 # -1 # ID=1_832;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
1:945916-947298|-    -            461 865at72274           -            757   1.5e-06   25.1   0.0   2   2   3.3e-08   4.3e-05   20.2   0.0   482   555   248   324   222   334 0.87 1_832 # 945916 # 947298 # -1 # ID=1_832;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/865at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/865at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/865at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:49:24 2024
# [ok]
