#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4226236-4227546|-  -            437 43014at72274         -            299  4.7e-123  408.6   0.1   1   1  6.4e-126  8.3e-123  407.8   0.1     1   294    43   372    43   378 0.90 1_3903 # 4226236 # 4227546 # -1 # ID=1_3903;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.681
1:5917101-5919230|-  -            710 43014at72274         -            299   5.9e-43  145.6   0.1   1   2    0.0015       1.9    6.0   0.0    21    74   222   275   209   351 0.89 1_5404 # 5917101 # 5919230 # -1 # ID=1_5404;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640
1:5917101-5919230|-  -            710 43014at72274         -            299   5.9e-43  145.6   0.1   2   2   1.5e-43   1.9e-40  137.3   0.1   146   294   406   559   403   564 0.88 1_5404 # 5917101 # 5919230 # -1 # ID=1_5404;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640
1:2163889-2165313|-  -            475 43014at72274         -            299   3.9e-05   21.4   0.2   1   2   1.5e-05     0.019   12.6   0.0    66   122   297   358   288   362 0.82 1_1996 # 2163889 # 2165313 # -1 # ID=1_1996;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:2163889-2165313|-  -            475 43014at72274         -            299   3.9e-05   21.4   0.2   2   2     0.001       1.3    6.6   0.0    63    99   405   441   394   470 0.87 1_1996 # 2163889 # 2165313 # -1 # ID=1_1996;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:2551059-2552228|+  -            390 43014at72274         -            299    0.0033   15.1   0.1   1   2      0.49   6.4e+02   -2.3   0.0    60    92   152   187   131   202 0.51 1_2342 # 2551059 # 2552228 # 1 # ID=1_2342;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.679
1:2551059-2552228|+  -            390 43014at72274         -            299    0.0033   15.1   0.1   2   2   6.7e-06    0.0087   13.7   0.0    60   122   300   368   291   372 0.81 1_2342 # 2551059 # 2552228 # 1 # ID=1_2342;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.679
1:5482932-5484284|+  -            451 43014at72274         -            299    0.0041   14.8   0.0   1   2     0.011        14    3.2   0.0    68    96   132   160   122   194 0.86 1_5019 # 5482932 # 5484284 # 1 # ID=1_5019;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.653
1:5482932-5484284|+  -            451 43014at72274         -            299    0.0041   14.8   0.0   2   2   0.00015      0.19    9.3   0.0    69   124   229   288   223   294 0.84 1_5019 # 5482932 # 5484284 # 1 # ID=1_5019;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.653
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/43014at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/43014at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/43014at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:47:59 2024
# [ok]
