locus_tag	ftype	length_bp	gene	EC_number	COG	product
INJOPEMP_00001	CDS	1239				hypothetical protein
INJOPEMP_00002	CDS	93				hypothetical protein
INJOPEMP_00003	CDS	327				hypothetical protein
INJOPEMP_00004	CDS	831	parA_1			Chromosome partitioning protein ParA
INJOPEMP_00005	CDS	1443				hypothetical protein
INJOPEMP_00006	CDS	861	parB_1		COG1475	putative chromosome-partitioning protein ParB
INJOPEMP_00007	CDS	387	walR_1		COG0745	Transcriptional regulatory protein WalR
INJOPEMP_00008	CDS	2010				hypothetical protein
INJOPEMP_00009	CDS	255				hypothetical protein
INJOPEMP_00010	CDS	5766	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
INJOPEMP_00011	CDS	933	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
INJOPEMP_00012	CDS	1038	recA_1		COG0468	Protein RecA
INJOPEMP_00013	CDS	897				hypothetical protein
INJOPEMP_00014	CDS	546				hypothetical protein
INJOPEMP_00015	CDS	1569	rpoS_1			RNA polymerase sigma factor RpoS
INJOPEMP_00016	CDS	1107	dnaN_1		COG0592	Beta sliding clamp
INJOPEMP_00017	CDS	1032				hypothetical protein
INJOPEMP_00018	CDS	753				hypothetical protein
INJOPEMP_00019	CDS	1413	sbcB_1	3.1.11.1	COG2925	Exodeoxyribonuclease I
INJOPEMP_00020	CDS	822				hypothetical protein
INJOPEMP_00021	CDS	693				hypothetical protein
INJOPEMP_00022	CDS	1377				hypothetical protein
INJOPEMP_00023	CDS	213				hypothetical protein
INJOPEMP_00024	CDS	495				hypothetical protein
INJOPEMP_00025	CDS	1833	noc			Nucleoid occlusion protein
INJOPEMP_00026	CDS	777				hypothetical protein
INJOPEMP_00027	CDS	465				hypothetical protein
INJOPEMP_00028	CDS	363				hypothetical protein
INJOPEMP_00029	CDS	321				hypothetical protein
INJOPEMP_00030	CDS	399				hypothetical protein
INJOPEMP_00031	CDS	696				hypothetical protein
INJOPEMP_00032	CDS	1188				hypothetical protein
INJOPEMP_00033	CDS	360				hypothetical protein
INJOPEMP_00034	CDS	327				hypothetical protein
INJOPEMP_00035	CDS	177	csrA1			Translational regulator CsrA1
INJOPEMP_00036	CDS	336				hypothetical protein
INJOPEMP_00037	CDS	276				hypothetical protein
INJOPEMP_00038	CDS	705				hypothetical protein
INJOPEMP_00039	CDS	246				hypothetical protein
INJOPEMP_00040	CDS	921	rdgC_1		COG2974	Recombination-associated protein RdgC
INJOPEMP_00041	CDS	228				hypothetical protein
INJOPEMP_00042	CDS	687				hypothetical protein
INJOPEMP_00043	CDS	204				hypothetical protein
INJOPEMP_00044	CDS	411				hypothetical protein
INJOPEMP_00045	CDS	717				hypothetical protein
INJOPEMP_00046	CDS	276				hypothetical protein
INJOPEMP_00047	CDS	402				hypothetical protein
INJOPEMP_00048	CDS	243				hypothetical protein
INJOPEMP_00049	CDS	456				hypothetical protein
INJOPEMP_00050	CDS	396	walR_2		COG0745	Transcriptional regulatory protein WalR
INJOPEMP_00051	CDS	327				hypothetical protein
INJOPEMP_00052	CDS	573				hypothetical protein
INJOPEMP_00053	CDS	1119				hypothetical protein
INJOPEMP_00054	CDS	528				hypothetical protein
INJOPEMP_00055	CDS	237				hypothetical protein
INJOPEMP_00056	CDS	837				hypothetical protein
INJOPEMP_00057	CDS	333				hypothetical protein
INJOPEMP_00058	CDS	639				hypothetical protein
INJOPEMP_00059	CDS	120				hypothetical protein
INJOPEMP_00060	CDS	342				hypothetical protein
INJOPEMP_00061	CDS	237				hypothetical protein
INJOPEMP_00062	CDS	528				hypothetical protein
INJOPEMP_00063	CDS	420				hypothetical protein
INJOPEMP_00064	CDS	663	yiaD_1		COG2885	putative lipoprotein YiaD
INJOPEMP_00065	CDS	282				hypothetical protein
INJOPEMP_00066	CDS	849				hypothetical protein
INJOPEMP_00067	CDS	309				hypothetical protein
INJOPEMP_00068	CDS	387				hypothetical protein
INJOPEMP_00069	CDS	300				hypothetical protein
INJOPEMP_00070	CDS	288				hypothetical protein
INJOPEMP_00071	CDS	198				hypothetical protein
INJOPEMP_00072	CDS	666				hypothetical protein
INJOPEMP_00073	CDS	489				hypothetical protein
INJOPEMP_00074	CDS	282				hypothetical protein
INJOPEMP_00075	CDS	591				hypothetical protein
INJOPEMP_00076	CDS	597	sspA_1		COG0625	Stringent starvation protein A
INJOPEMP_00077	CDS	1155				hypothetical protein
INJOPEMP_00078	CDS	228				hypothetical protein
INJOPEMP_00079	CDS	201				hypothetical protein
INJOPEMP_00080	CDS	1176				hypothetical protein
INJOPEMP_00081	CDS	612				hypothetical protein
INJOPEMP_00082	CDS	582				hypothetical protein
INJOPEMP_00083	CDS	750				hypothetical protein
INJOPEMP_00084	CDS	402				hypothetical protein
INJOPEMP_00085	CDS	291				hypothetical protein
INJOPEMP_00086	CDS	240				hypothetical protein
INJOPEMP_00087	CDS	597				hypothetical protein
INJOPEMP_00088	CDS	168				hypothetical protein
INJOPEMP_00089	CDS	204				hypothetical protein
INJOPEMP_00090	CDS	351				hypothetical protein
INJOPEMP_00091	CDS	192				hypothetical protein
INJOPEMP_00092	CDS	642				hypothetical protein
INJOPEMP_00093	CDS	1359				hypothetical protein
INJOPEMP_00094	CDS	969				hypothetical protein
INJOPEMP_00095	CDS	714				hypothetical protein
INJOPEMP_00096	CDS	249				hypothetical protein
INJOPEMP_00097	CDS	429				hypothetical protein
INJOPEMP_00098	CDS	1017	yejK_1		COG3081	Nucleoid-associated protein YejK
INJOPEMP_00099	CDS	732				hypothetical protein
INJOPEMP_00100	CDS	450				hypothetical protein
INJOPEMP_00101	CDS	303				hypothetical protein
INJOPEMP_00102	CDS	591				hypothetical protein
INJOPEMP_00103	CDS	633				hypothetical protein
INJOPEMP_00104	CDS	876				hypothetical protein
INJOPEMP_00105	CDS	555				hypothetical protein
INJOPEMP_00106	CDS	621				hypothetical protein
INJOPEMP_00107	CDS	330				hypothetical protein
INJOPEMP_00108	CDS	657				hypothetical protein
INJOPEMP_00109	CDS	336				hypothetical protein
INJOPEMP_00110	CDS	450				hypothetical protein
INJOPEMP_00111	CDS	333				hypothetical protein
INJOPEMP_00112	CDS	390				hypothetical protein
INJOPEMP_00113	CDS	1815				hypothetical protein
INJOPEMP_00114	CDS	426				hypothetical protein
INJOPEMP_00115	CDS	234				hypothetical protein
INJOPEMP_00116	CDS	492				hypothetical protein
INJOPEMP_00117	CDS	660				hypothetical protein
INJOPEMP_00118	CDS	552				hypothetical protein
INJOPEMP_00119	CDS	378				hypothetical protein
INJOPEMP_00120	CDS	261				hypothetical protein
INJOPEMP_00121	CDS	621				hypothetical protein
INJOPEMP_00122	CDS	324				hypothetical protein
INJOPEMP_00123	CDS	417				hypothetical protein
INJOPEMP_00124	CDS	954				hypothetical protein
INJOPEMP_00125	CDS	450				hypothetical protein
INJOPEMP_00126	CDS	630				hypothetical protein
