#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:4439104-4439622|-  -            173 59210at72274         -            151     2e-73  243.7   0.1   1   1   2.1e-76   2.3e-73  243.5   0.1     1   151     1   164     1   164 0.96 2_4100 # 4439104 # 4439622 # -1 # ID=2_4100;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.669
2:2642062-2643702|-  -            547 59210at72274         -            151    0.0017   16.7   0.1   1   2     0.014        15    3.9   0.0     5    27    44    66    40    86 0.86 2_2435 # 2642062 # 2643702 # -1 # ID=2_2435;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.710
2:2642062-2643702|-  -            547 59210at72274         -            151    0.0017   16.7   0.1   2   2   0.00016      0.18   10.2   0.0     3    23   376   396   374   399 0.90 2_2435 # 2642062 # 2643702 # -1 # ID=2_2435;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.710
2:5560987-5563785|+  -            933 59210at72274         -            151    0.0027   16.1   0.1   1   2      0.11   1.2e+02    1.0   0.0     3    27   284   308   282   350 0.79 2_5111 # 5560987 # 5563785 # 1 # ID=2_5111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.680
2:5560987-5563785|+  -            933 59210at72274         -            151    0.0027   16.1   0.1   2   2   4.3e-05     0.047   12.0   0.0     4    34   625   655   622   660 0.90 2_5111 # 5560987 # 5563785 # 1 # ID=2_5111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.680
2:1004652-1006928|+  -            759 59210at72274         -            151    0.0073   14.7   0.1   1   2     0.013        14    4.0   0.0     3    25   214   236   212   243 0.88 2_945 # 1004652 # 1006928 # 1 # ID=2_945;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:1004652-1006928|+  -            759 59210at72274         -            151    0.0073   14.7   0.1   2   2   0.00097       1.1    7.6   0.0     4    26   496   518   493   538 0.85 2_945 # 1004652 # 1006928 # 1 # ID=2_945;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:3354904-3357303|+  -            800 59210at72274         -            151     0.038   12.3   0.0   1   1   7.9e-05     0.087   11.2   0.0     4    25   379   400   377   404 0.92 2_3125 # 3354904 # 3357303 # 1 # ID=2_3125;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.652
2:1915118-1916683|+  -            522 59210at72274         -            151     0.045   12.1   0.0   1   3      0.11   1.2e+02    1.0   0.0     6    25    24    43    20    52 0.88 2_1718 # 1915118 # 1916683 # 1 # ID=2_1718;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.646
2:1915118-1916683|+  -            522 59210at72274         -            151     0.045   12.1   0.0   2   3      0.37   4.1e+02   -0.8   0.0    17    34   154   171   141   201 0.66 2_1718 # 1915118 # 1916683 # 1 # ID=2_1718;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.646
2:1915118-1916683|+  -            522 59210at72274         -            151     0.045   12.1   0.0   3   3    0.0017       1.9    6.8   0.0     4    30   340   366   338   390 0.81 2_1718 # 1915118 # 1916683 # 1 # ID=2_1718;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.646
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/59210at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/59210at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/59210at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:56:34 2024
# [ok]
