#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:3798365-3799936|-  -            524 30483at72274         -            371  4.3e-200  662.6   0.0   1   1  1.3e-202  5.4e-200  662.3   0.0     2   365   121   508   120   513 0.95 1_3494 # 3798365 # 3799936 # -1 # ID=1_3494;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.655
1:3100846-3102765|-  -            640 30483at72274         -            371     6e-97  323.2   0.0   1   1     2e-99   8.1e-97  322.8   0.0    20   364    14   373     3   378 0.92 1_2844 # 3100846 # 3102765 # -1 # ID=1_2844;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.685
1:3691873-3693222|+  -            450 30483at72274         -            371   7.5e-92  306.4   0.0   1   1   2.4e-94   9.6e-92  306.1   0.0    19   366    13   370     4   374 0.93 1_3401 # 3691873 # 3693222 # 1 # ID=1_3401;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.685
1:4277112-4278437|+  -            442 30483at72274         -            371   7.8e-88  293.2   0.1   1   1   2.4e-90   9.9e-88  292.9   0.1    15   369     8   372     2   374 0.93 1_3928 # 4277112 # 4278437 # 1 # ID=1_3928;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.677
1:3134534-3135910|-  -            459 30483at72274         -            371   6.7e-82  273.7   0.0   1   1   2.2e-84     9e-82  273.3   0.0    22   361    19   363     2   370 0.91 1_2869 # 3134534 # 3135910 # -1 # ID=1_2869;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.696
1:4985405-4987075|+  -            557 30483at72274         -            371   2.5e-80  268.5   0.1   1   1   8.3e-83   3.4e-80  268.1   0.1    19   364    18   369     3   375 0.92 1_4590 # 4985405 # 4987075 # 1 # ID=1_4590;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699
1:5143937-5146015|+  -            693 30483at72274         -            371   4.2e-12   44.0   0.0   1   1   1.6e-14   6.4e-12   43.4   0.0    25   347    21   348    10   356 0.77 1_4771 # 5143937 # 5146015 # 1 # ID=1_4771;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.588
1:2619876-2622623|-  -            916 30483at72274         -            371   9.2e-07   26.4   0.0   1   1   5.1e-09   2.1e-06   25.3   0.0   244   349   502   614   478   632 0.79 1_2407 # 2619876 # 2622623 # -1 # ID=1_2407;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.557
1:4495111-4499457|+  -           1449 30483at72274         -            371   5.6e-06   23.9   0.1   1   2      0.64   2.6e+02   -1.4   0.0    40    69    49    78    34   106 0.74 1_4131 # 4495111 # 4499457 # 1 # ID=1_4131;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.714
1:4495111-4499457|+  -           1449 30483at72274         -            371   5.6e-06   23.9   0.1   2   2   5.1e-08   2.1e-05   22.0   0.0   241   334   285   385   264   406 0.78 1_4131 # 4495111 # 4499457 # 1 # ID=1_4131;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.714
1:1510189-1515462|+  -           1758 30483at72274         -            371   6.4e-06   23.7   0.0   1   2   9.8e-05      0.04   11.2   0.0    42    90   107   157    90   237 0.82 1_1426 # 1510189 # 1515462 # 1 # ID=1_1426;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
1:1510189-1515462|+  -           1758 30483at72274         -            371   6.4e-06   23.7   0.0   2   2    0.0003      0.12    9.6   0.0   302   345  1009  1052   996  1077 0.77 1_1426 # 1510189 # 1515462 # 1 # ID=1_1426;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
1:1284322-1286298|+  -            659 30483at72274         -            371   4.4e-05   20.9   0.0   1   2      0.44   1.8e+02   -0.8   0.0   149   161   348   360   335   363 0.88 1_1211 # 1284322 # 1286298 # 1 # ID=1_1211;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.648
1:1284322-1286298|+  -            659 30483at72274         -            371   4.4e-05   20.9   0.0   2   2   5.5e-07   0.00022   18.6   0.0   234   333   497   602   484   627 0.80 1_1211 # 1284322 # 1286298 # 1 # ID=1_1211;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.648
1:1515469-1518258|+  -            930 30483at72274         -            371   8.3e-05   20.0   0.0   1   2       1.9   7.5e+02   -2.9   0.0   150   221   225   299   209   311 0.68 1_1427 # 1515469 # 1518258 # 1 # ID=1_1427;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.642
1:1515469-1518258|+  -            930 30483at72274         -            371   8.3e-05   20.0   0.0   2   2   5.8e-07   0.00024   18.5   0.0   270   338   507   576   499   603 0.89 1_1427 # 1515469 # 1518258 # 1 # ID=1_1427;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.642
1:4405805-4407943|+  -            713 30483at72274         -            371   0.00086   16.7   0.0   1   2      0.82   3.3e+02   -1.7   0.0    27    60    18    51     8    57 0.87 1_4056 # 4405805 # 4407943 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684
1:4405805-4407943|+  -            713 30483at72274         -            371   0.00086   16.7   0.0   2   2   8.2e-06    0.0033   14.7   0.0   276   336   264   324   213   350 0.89 1_4056 # 4405805 # 4407943 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684
1:893767-896988|-    -           1074 30483at72274         -            371    0.0034   14.7   0.0   1   1   1.6e-05    0.0065   13.8   0.0   284   344   758   818   739   841 0.87 1_865 # 893767 # 896988 # -1 # ID=1_865;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
2:714114-719954|-    -           1947 30483at72274         -            371    0.0097   13.2   0.0   1   2     0.058        24    2.1   0.0    41    69   126   154   106   164 0.82 2_595 # 714114 # 719954 # -1 # ID=2_595;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
2:714114-719954|-    -           1947 30483at72274         -            371    0.0097   13.2   0.0   2   2   0.00062      0.25    8.6   0.0   290   338  1199  1247  1164  1271 0.80 2_595 # 714114 # 719954 # -1 # ID=2_595;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
