#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:6715102-6716427|+  -            442 18426at72274         -            352  3.4e-171  567.7   0.1   1   1  4.4e-173  2.9e-170  564.7   0.1     1   351    12   424    12   425 0.88 1_6173 # 6715102 # 6716427 # 1 # ID=1_6173;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.670
1:1229326-1230768|-  -            481 18426at72274         -            352   8.4e-15   53.3   0.0   1   2   1.8e-12   1.1e-09   36.4   0.0     2    67     6    69     5   112 0.81 1_1106 # 1229326 # 1230768 # -1 # ID=1_1106;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.690
1:1229326-1230768|-  -            481 18426at72274         -            352   8.4e-15   53.3   0.0   2   2   6.7e-06    0.0044   14.8   0.0    77   178   120   226   110   236 0.82 1_1106 # 1229326 # 1230768 # -1 # ID=1_1106;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.690
1:1905780-1906838|-  -            353 18426at72274         -            352   1.1e-09   36.5   0.0   1   1   3.5e-12   2.3e-09   35.5   0.0     3   103    21   134    19   152 0.74 1_1737 # 1905780 # 1906838 # -1 # ID=1_1737;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.635
1:6706668-6708944|+  -            759 18426at72274         -            352   1.4e-05   23.0   0.3   1   4   0.00026      0.17    9.6   0.0     6    59   185   235   180   240 0.83 1_6166 # 6706668 # 6708944 # 1 # ID=1_6166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:6706668-6708944|+  -            759 18426at72274         -            352   1.4e-05   23.0   0.3   2   4      0.34   2.2e+02   -0.7   0.0    72    87   278   294   272   331 0.84 1_6166 # 6706668 # 6708944 # 1 # ID=1_6166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:6706668-6708944|+  -            759 18426at72274         -            352   1.4e-05   23.0   0.3   3   4   0.00035      0.23    9.2   0.0    37    60   494   517   483   524 0.90 1_6166 # 6706668 # 6708944 # 1 # ID=1_6166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:6706668-6708944|+  -            759 18426at72274         -            352   1.4e-05   23.0   0.3   4   4       3.5   2.3e+03   -4.0   0.0   133   167   657   692   653   695 0.79 1_6166 # 6706668 # 6708944 # 1 # ID=1_6166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:3160512-3163310|-  -            933 18426at72274         -            352   3.4e-05   21.8   0.1   1   3    0.0026       1.7    6.3   0.0    27    60   273   306   251   314 0.73 1_2936 # 3160512 # 3163310 # -1 # ID=1_2936;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.683
1:3160512-3163310|-  -            933 18426at72274         -            352   3.4e-05   21.8   0.1   2   3       0.3   1.9e+02   -0.5   0.0    79    93   357   371   342   435 0.66 1_2936 # 3160512 # 3163310 # -1 # ID=1_2936;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.683
1:3160512-3163310|-  -            933 18426at72274         -            352   3.4e-05   21.8   0.1   3   3    0.0001     0.066   10.9   0.0    14    60   594   646   584   654 0.67 1_2936 # 3160512 # 3163310 # -1 # ID=1_2936;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.683
1:2747341-2749905|-  -            855 18426at72274         -            352   0.00024   19.0   0.0   1   3    0.0011      0.69    7.6   0.0    10    60   176   223   167   237 0.74 1_2539 # 2747341 # 2749905 # -1 # ID=1_2539;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.651
1:2747341-2749905|-  -            855 18426at72274         -            352   0.00024   19.0   0.0   2   3       2.8   1.8e+03   -3.7   0.0    79    88   274   283   262   316 0.80 1_2539 # 2747341 # 2749905 # -1 # ID=1_2539;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.651
1:2747341-2749905|-  -            855 18426at72274         -            352   0.00024   19.0   0.0   3   3   0.00069      0.45    8.2   0.0    37    60   599   622   560   636 0.73 1_2539 # 2747341 # 2749905 # -1 # ID=1_2539;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.651
1:6350914-6351831|+  -            306 18426at72274         -            352    0.0026   15.6   0.1   1   3     0.011         7    4.3   0.0    20    60    16    57     9    64 0.70 1_5807 # 6350914 # 6351831 # 1 # ID=1_5807;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.696
1:6350914-6351831|+  -            306 18426at72274         -            352    0.0026   15.6   0.1   2   3   0.00048      0.31    8.7   0.0    78   111    98   132    95   153 0.84 1_5807 # 6350914 # 6351831 # 1 # ID=1_5807;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.696
1:6350914-6351831|+  -            306 18426at72274         -            352    0.0026   15.6   0.1   3   3         2   1.3e+03   -3.2   0.0    94   119   216   238   212   266 0.66 1_5807 # 6350914 # 6351831 # 1 # ID=1_5807;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.696
1:6823647-6824561|+  -            305 18426at72274         -            352     0.012   13.3   0.1   1   3   0.00019      0.12   10.1   0.0    36    60    64    89    34   103 0.72 1_6275 # 6823647 # 6824561 # 1 # ID=1_6275;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.591
1:6823647-6824561|+  -            305 18426at72274         -            352     0.012   13.3   0.1   2   3      0.15     1e+02    0.5   0.0   106   134   184   212   161   230 0.64 1_6275 # 6823647 # 6824561 # 1 # ID=1_6275;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.591
1:6823647-6824561|+  -            305 18426at72274         -            352     0.012   13.3   0.1   3   3       3.5   2.3e+03   -4.0   0.0   134   152   255   273   254   284 0.76 1_6275 # 6823647 # 6824561 # 1 # ID=1_6275;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.591
1:3565483-3568191|-  -            903 18426at72274         -            352     0.013   13.3   0.1   1   2    0.0043       2.8    5.6   0.0     2    54   199   248   198   258 0.83 1_3307 # 3565483 # 3568191 # -1 # ID=1_3307;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.687
1:3565483-3568191|-  -            903 18426at72274         -            352     0.013   13.3   0.1   2   2    0.0064       4.1    5.0   0.0    13    60   604   657   597   675 0.71 1_3307 # 3565483 # 3568191 # -1 # ID=1_3307;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.687
1:5784669-5785784|+  -            372 18426at72274         -            352     0.032   11.9   0.0   1   1   0.00011      0.07   10.8   0.0    13    61    60   114    51   117 0.71 1_5291 # 5784669 # 5785784 # 1 # ID=1_5291;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.690
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
