#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:5702514-5703188|+  -            225 47841at72274         -            175   6.1e-69  229.9   0.0   1   1   7.7e-71     1e-67  225.9   0.0     1   175     1   218     1   218 0.90 2_5253 # 5702514 # 5703188 # 1 # ID=2_5253;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689
2:4576149-4577030|+  -            294 47841at72274         -            175   5.7e-10   37.9   0.0   1   3   7.3e-12   9.6e-09   33.9   0.0     2    52     4    54     3   123 0.89 2_4226 # 4576149 # 4577030 # 1 # ID=2_4226;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
2:4576149-4577030|+  -            294 47841at72274         -            175   5.7e-10   37.9   0.0   2   3      0.11   1.4e+02    0.8   0.0   154   172   215   234   203   237 0.77 2_4226 # 4576149 # 4577030 # 1 # ID=2_4226;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
2:4576149-4577030|+  -            294 47841at72274         -            175   5.7e-10   37.9   0.0   3   3      0.72   9.5e+02   -1.9   0.0   155   171   256   272   244   273 0.82 2_4226 # 4576149 # 4577030 # 1 # ID=2_4226;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
2:1847696-1848535|-  -            280 47841at72274         -            175   1.5e-09   36.5   0.0   1   2     3e-11     4e-08   31.9   0.0     2    71     4    73     3    79 0.94 2_1658 # 1847696 # 1848535 # -1 # ID=2_1658;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.617
2:1847696-1848535|-  -            280 47841at72274         -            175   1.5e-09   36.5   0.0   2   2     0.028        37    2.7   0.0    73   104   109   141    74   153 0.68 2_1658 # 1847696 # 1848535 # -1 # ID=2_1658;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.617
2:2915396-2916058|-  -            221 47841at72274         -            175   1.2e-06   27.1   0.1   1   2   1.6e-08   2.2e-05   23.0   0.1     2    47     6    48     5   116 0.90 2_2683 # 2915396 # 2916058 # -1 # ID=2_2683;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
2:2915396-2916058|-  -            221 47841at72274         -            175   1.2e-06   27.1   0.1   2   2     0.051        67    1.8   0.0   125   140   159   174   136   205 0.85 2_2683 # 2915396 # 2916058 # -1 # ID=2_2683;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643
2:5012604-5013968|-  -            455 47841at72274         -            175   1.1e-05   24.0   0.1   1   1   1.5e-08     2e-05   23.1   0.1     3    96     5   103     3   121 0.71 2_4621 # 5012604 # 5013968 # -1 # ID=2_4621;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.670
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/47841at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/47841at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/47841at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:51:16 2024
# [ok]
