#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4997100-4998059|-  -            320 30337at72274         -            247  2.6e-128  425.2   9.3   1   1  3.8e-130  3.5e-127  421.5   9.3     1   246    29   315    29   316 0.93 1_4600 # 4997100 # 4998059 # -1 # ID=1_4600;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
1:2933034-2933792|-  -            253 30337at72274         -            247   1.5e-07   29.7   0.1   1   2   7.6e-09     7e-06   24.2   0.1    90   129   101   140    72   151 0.83 1_2686 # 2933034 # 2933792 # -1 # ID=1_2686;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.686
1:2933034-2933792|-  -            253 30337at72274         -            247   1.5e-07   29.7   0.1   2   2     0.019        17    3.2   0.0   183   247   179   245   169   245 0.72 1_2686 # 2933034 # 2933792 # -1 # ID=1_2686;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.686
2:645337-646881|-    -            515 30337at72274         -            247   5.3e-07   27.9   0.6   1   3      0.44     4e+02   -1.2   0.0   175   189   189   203   185   229 0.80 2_531 # 645337 # 646881 # -1 # ID=2_531;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
2:645337-646881|-    -            515 30337at72274         -            247   5.3e-07   27.9   0.6   2   3    0.0012       1.1    7.2   0.0   102   129   283   310   277   328 0.87 2_531 # 645337 # 646881 # -1 # ID=2_531;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
2:645337-646881|-    -            515 30337at72274         -            247   5.3e-07   27.9   0.6   3   3   1.1e-06     0.001   17.1   0.2   187   219   362   394   347   410 0.87 2_531 # 645337 # 646881 # -1 # ID=2_531;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
2:648209-649666|-    -            486 30337at72274         -            247   0.00089   17.3   1.0   1   3   0.00043       0.4    8.6   0.0   108   137   286   318   281   325 0.79 2_534 # 648209 # 649666 # -1 # ID=2_534;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.700
2:648209-649666|-    -            486 30337at72274         -            247   0.00089   17.3   1.0   2   3    0.0019       1.8    6.5   0.1   188   218   359   389   354   414 0.73 2_534 # 648209 # 649666 # -1 # ID=2_534;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.700
2:648209-649666|-    -            486 30337at72274         -            247   0.00089   17.3   1.0   3   3       1.5   1.4e+03   -3.0   0.0   231   245   435   449   428   450 0.85 2_534 # 648209 # 649666 # -1 # ID=2_534;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.700
1:396841-398274|+    -            478 30337at72274         -            247    0.0013   16.8   0.1   1   1   1.6e-05     0.015   13.3   0.1    84   244    94   247    63   250 0.70 1_382 # 396841 # 398274 # 1 # ID=1_382;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662
1:1977272-1978711|-  -            480 30337at72274         -            247    0.0079   14.2   0.0   1   2   0.00011       0.1   10.6   0.0    65   127    74   132    61   140 0.73 1_1819 # 1977272 # 1978711 # -1 # ID=1_1819;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.664
