# BUSCO version is: 5.7.1 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2024-01-08, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Complete	1:2947245-2951444	2951444	2947245	-	2457.6	1220	https://v10-1.orthodb.org/?query=207at72274	DNA-directed RNA polymerase subunit beta'
208at72274	Complete	1:2951510-2955583	2955583	2951510	-	2319.6	1156	https://v10-1.orthodb.org/?query=208at72274	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
209at72274	Complete	1:4337788-4342233	4337788	4342233	+	2303.3	1261	https://v10-1.orthodb.org/?query=209at72274	Glutamate synthase, alpha subunit, C-terminal
299at72274	Complete	1:5867171-5871151	5867171	5871151	+	1487.1	988	https://v10-1.orthodb.org/?query=299at72274	RNA helicase HrpA
391at72274	Complete	1:5298793-5302689	5298793	5302689	+	1898.1	1067	https://v10-1.orthodb.org/?query=391at72274	Phosphoribosylformylglycinamidine synthase
395at72274	Complete	1:801536-805240	801536	805240	+	2035.9	1057	https://v10-1.orthodb.org/?query=395at72274	Methionine synthase
436at72274	Complete	1:4667913-4671134	4667913	4671134	+	1795.5	903	https://v10-1.orthodb.org/?query=436at72274	Carbamoyl-phosphate synthase large chain
457at72274	Complete	1:2372692-2376429	2376429	2372692	-	881.5	766	https://v10-1.orthodb.org/?query=457at72274	UvrD-like DNA helicase, C-terminal
543at72274	Complete	1:2144293-2147475	2147475	2144293	-	1341.0	886	https://v10-1.orthodb.org/?query=543at72274	Proline dehydrogenase domain
606at72274	Complete	1:6215824-6219276	6219276	6215824	-	1551.2	932	https://v10-1.orthodb.org/?query=606at72274	Transcription-repair-coupling factor
712at72274	Complete	1:6920917-6924582	6920917	6924582	+	1074.9	1038	https://v10-1.orthodb.org/?query=712at72274	Translocation and assembly module TamB
813at72274	Complete	1:5224037-5226889	5226889	5224037	-	1323.7	727	https://v10-1.orthodb.org/?query=813at72274	Valine--tRNA ligase
865at72274	Complete	1:2766889-2769720	2769720	2766889	-	1239.6	756	https://v10-1.orthodb.org/?query=865at72274	Isoleucine--tRNA ligase
