#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:748638-749597|-    -            320 30337at72274         -            247  2.6e-128  425.2   9.3   1   1  3.3e-130  3.6e-127  421.5   9.3     1   246    29   315    29   316 0.93 2_694 # 748638 # 749597 # -1 # ID=2_694;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.649
2:5355284-5356042|-  -            253 30337at72274         -            247   1.5e-07   29.7   0.1   1   2   6.5e-09   7.2e-06   24.2   0.1    90   129   101   140    72   151 0.83 2_4924 # 5355284 # 5356042 # -1 # ID=2_4924;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.685
2:5355284-5356042|-  -            253 30337at72274         -            247   1.5e-07   29.7   0.1   2   2     0.016        18    3.2   0.0   183   247   179   245   169   245 0.72 2_4924 # 5355284 # 5356042 # -1 # ID=2_4924;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.685
2:1515449-1516993|-  -            515 30337at72274         -            247   1.3e-06   26.6   0.6   1   3      0.96   1.1e+03   -2.6   0.0   175   193   189   209   186   229 0.71 2_1357 # 1515449 # 1516993 # -1 # ID=2_1357;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
2:1515449-1516993|-  -            515 30337at72274         -            247   1.3e-06   26.6   0.6   2   3    0.0016       1.7    6.6   0.0   103   129   284   310   278   331 0.86 2_1357 # 1515449 # 1516993 # -1 # ID=2_1357;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
2:1515449-1516993|-  -            515 30337at72274         -            247   1.3e-06   26.6   0.6   3   3   8.8e-07   0.00097   17.2   0.1   187   219   362   394   346   410 0.87 2_1357 # 1515449 # 1516993 # -1 # ID=2_1357;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.717
2:3002590-3004023|+  -            478 30337at72274         -            247    0.0013   16.8   0.1   1   1   1.4e-05     0.015   13.3   0.1    84   244    94   247    63   250 0.70 2_2772 # 3002590 # 3004023 # 1 # ID=2_2772;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.658
2:1518321-1519778|-  -            486 30337at72274         -            247    0.0048   14.9   4.0   1   4       1.5   1.6e+03   -3.2   0.1   205   231    93   119    83   122 0.79 2_1360 # 1518321 # 1519778 # -1 # ID=2_1360;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.695
2:1518321-1519778|-  -            486 30337at72274         -            247    0.0048   14.9   4.0   2   4   0.00036       0.4    8.6   0.0   108   137   286   318   281   325 0.79 2_1360 # 1518321 # 1519778 # -1 # ID=2_1360;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.695
2:1518321-1519778|-  -            486 30337at72274         -            247    0.0048   14.9   4.0   3   4    0.0014       1.6    6.7   0.1   188   218   359   389   354   414 0.72 2_1360 # 1518321 # 1519778 # -1 # ID=2_1360;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.695
2:1518321-1519778|-  -            486 30337at72274         -            247    0.0048   14.9   4.0   4   4       1.3   1.5e+03   -3.0   0.0   232   245   436   449   429   450 0.85 2_1360 # 1518321 # 1519778 # -1 # ID=2_1360;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.695
2:4448765-4450204|-  -            480 30337at72274         -            247    0.0081   14.2   0.0   1   2   9.3e-05       0.1   10.6   0.0    65   127    74   132    61   140 0.73 2_4108 # 4448765 # 4450204 # -1 # ID=2_4108;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662
2:4448765-4450204|-  -            480 30337at72274         -            247    0.0081   14.2   0.0   2   2     0.071        78    1.1   0.0   181   220   167   211   160   249 0.75 2_4108 # 4448765 # 4450204 # -1 # ID=2_4108;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30337at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/30337at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/30337at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:50:45 2024
# [ok]
