#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:1176741-1177448|-  -            236 35275at72274         -            209    2e-129  427.6   0.4   1   1  1.9e-132  2.5e-129  427.3   0.4     1   209     6   231     6   231 0.95 1_1051 # 1176741 # 1177448 # -1 # ID=1_1051;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.613
1:3969064-3970290|+  -            409 35275at72274         -            209    0.0002   19.4   1.0   1   1   2.8e-07   0.00036   18.5   1.0   113   200    14    94     3   102 0.77 1_3656 # 3969064 # 3970290 # 1 # ID=1_3656;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.723
1:3910175-3912136|-  -            654 35275at72274         -            209     0.014   13.3   0.6   1   2    0.0018       2.3    6.1   0.1   115   139   236   260   217   278 0.76 1_3610 # 3910175 # 3912136 # -1 # ID=1_3610;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.700
1:3910175-3912136|-  -            654 35275at72274         -            209     0.014   13.3   0.6   2   2    0.0032       4.2    5.2   0.1   172   208   314   350   309   351 0.81 1_3610 # 3910175 # 3912136 # -1 # ID=1_3610;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.700
1:1211386-1212801|+  -            472 35275at72274         -            209       1.1    7.1  10.3   1   3    0.0071       9.2    4.1   1.0   117   136   263   282   247   285 0.84 1_1086 # 1211386 # 1212801 # 1 # ID=1_1086;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
1:1211386-1212801|+  -            472 35275at72274         -            209       1.1    7.1  10.3   2   3     0.012        16    3.4   1.1   119   138   288   308   284   321 0.81 1_1086 # 1211386 # 1212801 # 1 # ID=1_1086;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
1:1211386-1212801|+  -            472 35275at72274         -            209       1.1    7.1  10.3   3   3    0.0095        12    3.7   0.0    58    93   349   384   340   404 0.79 1_1086 # 1211386 # 1212801 # 1 # ID=1_1086;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
1:5644945-5647269|-  -            775 35275at72274         -            209       2.2    6.2   5.5   1   2     0.042        55    1.6   0.3   171   199   359   387   352   401 0.81 1_5160 # 5644945 # 5647269 # -1 # ID=1_5160;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
1:5644945-5647269|-  -            775 35275at72274         -            209       2.2    6.2   5.5   2   2     0.001       1.3    6.9   0.6   119   145   403   429   389   464 0.72 1_5160 # 5644945 # 5647269 # -1 # ID=1_5160;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/35275at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/35275at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/35275at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:47:41 2024
# [ok]
