#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:2069918-2070337|-  -            140 56209at72274         -            137   1.7e-63  211.0   0.1   1   1   1.7e-66   1.9e-63  210.9   0.1     2   137     4   139     3   139 0.99 1_1902 # 2069918 # 2070337 # -1 # ID=1_1902;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.652
2:92153-93736|-      -            528 56209at72274         -            137   1.5e-36  123.7   0.0   1   4   4.1e-10   4.4e-07   28.3   0.0    45   132    15   103    10   107 0.91 2_90 # 92153 # 93736 # -1 # ID=2_90;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
2:92153-93736|-      -            528 56209at72274         -            137   1.5e-36  123.7   0.0   2   4   1.6e-09   1.7e-06   26.4   0.0    29   129   121   224   119   230 0.82 2_90 # 92153 # 93736 # -1 # ID=2_90;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
2:92153-93736|-      -            528 56209at72274         -            137   1.5e-36  123.7   0.0   3   4   2.5e-12   2.8e-09   35.4   0.0    51   123   280   352   265   356 0.95 2_90 # 92153 # 93736 # -1 # ID=2_90;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
2:92153-93736|-      -            528 56209at72274         -            137   1.5e-36  123.7   0.0   4   4   4.3e-10   4.6e-07   28.2   0.0    37   134   376   472   370   474 0.92 2_90 # 92153 # 93736 # -1 # ID=2_90;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
1:3274480-3274812|-  -            111 56209at72274         -            137   6.8e-15   53.6   0.0   1   1   7.9e-18   8.5e-15   53.3   0.0    38   130     8    98     2   100 0.89 1_3012 # 3274480 # 3274812 # -1 # ID=1_3012;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.667
1:623962-624900|-    -            313 56209at72274         -            137   0.00035   18.9   0.0   1   1   4.8e-07   0.00052   18.4   0.0    31   128   106   208    95   213 0.89 1_592 # 623962 # 624900 # -1 # ID=1_592;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.637
1:1853996-1854811|+  -            272 56209at72274         -            137   0.00071   17.9   0.0   1   3    0.0022       2.4    6.5   0.0    49    74    22    47    10    53 0.80 1_1727 # 1853996 # 1854811 # 1 # ID=1_1727;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.692
1:1853996-1854811|+  -            272 56209at72274         -            137   0.00071   17.9   0.0   2   3    0.0014       1.5    7.1   0.0    79   131    69   123    63   127 0.81 1_1727 # 1853996 # 1854811 # 1 # ID=1_1727;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.692
1:1853996-1854811|+  -            272 56209at72274         -            137   0.00071   17.9   0.0   3   3      0.19     2e+02    0.2   0.0    78   117   210   249   167   264 0.70 1_1727 # 1853996 # 1854811 # 1 # ID=1_1727;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.692
1:76111-76965|+      -            285 56209at72274         -            137    0.0025   16.1   0.0   1   3       1.5   1.6e+03   -2.7   0.0    38    60     7    29     3    52 0.62 1_75 # 76111 # 76965 # 1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
1:76111-76965|+      -            285 56209at72274         -            137    0.0025   16.1   0.0   2   3   0.00029      0.31    9.3   0.0   100   135    99   136    75   138 0.74 1_75 # 76111 # 76965 # 1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
1:76111-76965|+      -            285 56209at72274         -            137    0.0025   16.1   0.0   3   3     0.013        14    4.0   0.0    69   128   211   272   200   277 0.80 1_75 # 76111 # 76965 # 1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/56209at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/run_pseudomonadales_odb10/hmmer_output/56209at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/56209at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly
# Date:            Wed Aug 14 13:06:39 2024
# [ok]
