#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:6215824-6219276|-  -           1151 606at72274           -            950         0 1551.2   7.6   1   1         0         0 1542.5   7.6     6   938    15  1122    11  1138 0.90 1_5676 # 6215824 # 6219276 # -1 # ID=1_5676;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.670
1:3975127-3977202|-  -            692 606at72274           -            950   3.1e-71  239.0   0.2   1   1   4.6e-74   4.2e-71  238.5   0.2   453   802   261   643   243   658 0.80 1_3664 # 3975127 # 3977202 # -1 # ID=1_3664;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.690
1:6056538-6058550|+  -            671 606at72274           -            950   8.7e-15   52.2   0.7   1   3     0.026        25    1.0   0.0   458   534     9    85     2    91 0.78 1_5540 # 6056538 # 6058550 # 1 # ID=1_5540;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644
1:6056538-6058550|+  -            671 606at72274           -            950   8.7e-15   52.2   0.7   2   3   8.8e-14   8.1e-11   39.0   0.0    89   164   154   231   129   256 0.89 1_5540 # 6056538 # 6058550 # 1 # ID=1_5540;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644
1:6056538-6058550|+  -            671 606at72274           -            950   8.7e-15   52.2   0.7   3   3   0.00013      0.12    8.7   0.1   679   751   469   545   447   564 0.81 1_5540 # 6056538 # 6058550 # 1 # ID=1_5540;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644
1:4320208-4322427|-  -            740 606at72274           -            950   1.9e-09   34.5   0.0   1   2   5.7e-12   5.3e-09   33.0   0.0   438   599   180   345   171   401 0.74 1_3987 # 4320208 # 4322427 # -1 # ID=1_3987;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.695
1:4320208-4322427|-  -            740 606at72274           -            950   1.9e-09   34.5   0.0   2   2      0.21     2e+02   -2.0   0.0   494   522   523   551   519   552 0.92 1_3987 # 4320208 # 4322427 # -1 # ID=1_3987;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.695
1:3166453-3167829|+  -            459 606at72274           -            950   3.1e-07   27.2   0.1   1   2      0.19   1.7e+02   -1.8   0.0   505   571    72   142    53   162 0.67 1_2940 # 3166453 # 3167829 # 1 # ID=1_2940;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.695
1:3166453-3167829|+  -            459 606at72274           -            950   3.1e-07   27.2   0.1   2   2   9.7e-10     9e-07   25.6   0.1   679   773   265   360   248   366 0.82 1_2940 # 3166453 # 3167829 # 1 # ID=1_2940;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.695
1:3199596-3201515|+  -            640 606at72274           -            950   1.1e-05   22.0   0.2   1   1   1.6e-08   1.5e-05   21.6   0.2   506   773    80   367    22   371 0.82 1_2965 # 3199596 # 3201515 # 1 # ID=1_2965;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.685
1:5091087-5092436|+  -            450 606at72274           -            950   2.5e-05   20.9   0.3   1   1   3.4e-08   3.1e-05   20.5   0.3   500   773    69   362    25   370 0.73 1_4657 # 5091087 # 5092436 # 1 # ID=1_4657;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.685
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/606at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/606at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/606at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:48:41 2024
# [ok]
