#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:303730-304545|-    -            272 35711at72274         -            224  1.8e-127  421.7   1.0   1   1  2.5e-130  2.1e-127  421.5   1.0     1   224     1   240     1   240 0.96 2_280 # 303730 # 304545 # -1 # ID=2_280;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
2:2609867-2610700|-  -            278 35711at72274         -            224   1.5e-15   55.7   0.5   1   1   2.8e-18   2.3e-15   55.0   0.5     3   214     8   227     6   236 0.76 2_2407 # 2609867 # 2610700 # -1 # ID=2_2407;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.646
2:2601606-2602394|-  -            263 35711at72274         -            224   1.5e-07   29.5   0.2   1   1   8.7e-10   7.2e-07   27.3   0.2     3   158     2   171     1   196 0.67 2_2399 # 2601606 # 2602394 # -1 # ID=2_2399;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663
2:41164-42258|+      -            365 35711at72274         -            224     3e-07   28.5   0.7   1   2   1.3e-09   1.1e-06   26.7   0.4     3    41   100   138    98   149 0.92 2_36 # 41164 # 42258 # 1 # ID=2_36;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.689
2:41164-42258|+      -            365 35711at72274         -            224     3e-07   28.5   0.7   2   2      0.35   2.9e+02   -0.9   0.0   109   149   208   250   199   273 0.70 2_36 # 41164 # 42258 # 1 # ID=2_36;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.689
2:5022132-5022920|-  -            263 35711at72274         -            224   5.3e-07   27.7   0.2   1   1     2e-09   1.7e-06   26.1   0.2     1   146     1   155     1   236 0.71 2_4632 # 5022132 # 5022920 # -1 # ID=2_4632;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.650
2:3762621-3763487|+  -            289 35711at72274         -            224   2.8e-06   25.3   0.0   1   1   7.6e-09   6.3e-06   24.2   0.0     2    40     3    41     2    70 0.94 2_3492 # 3762621 # 3763487 # 1 # ID=2_3492;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.601
1:3768-4598|-        -            277 35711at72274         -            224   9.9e-05   20.3   0.1   1   2   4.9e-06     0.004   15.0   0.0     2    40    14    52    13    58 0.92 1_4 # 3768 # 4598 # -1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.542
1:3768-4598|-        -            277 35711at72274         -            224   9.9e-05   20.3   0.1   2   2      0.02        16    3.2   0.0   104   196   123   224   110   246 0.64 1_4 # 3768 # 4598 # -1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.542
2:4422343-4423110|-  -            256 35711at72274         -            224   0.00035   18.5   0.1   1   1   6.5e-07   0.00054   17.9   0.1     6    45     4    43     2   197 0.86 2_4089 # 4422343 # 4423110 # -1 # ID=2_4089;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/35711at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/35711at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/35711at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:50:57 2024
# [ok]
