#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:2190563-2192938|-  -            792 2348at72274          -            698         0 1405.4   4.1   1   1         0         0 1403.1   4.1     1   698     5   785     5   785 0.95 2_2001 # 2190563 # 2192938 # -1 # ID=2_2001;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644
2:6633339-6636209|+  -            957 2348at72274          -            698   2.6e-31  107.3   0.0   1   3   1.6e-11   2.1e-08   31.5   0.1   339   375   565   601   519   621 0.81 2_6134 # 6633339 # 6636209 # 1 # ID=2_6134;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.727
2:6633339-6636209|+  -            957 2348at72274          -            698   2.6e-31  107.3   0.0   2   3      0.08   1.1e+02   -0.5   0.0   413   444   662   693   655   700 0.87 2_6134 # 6633339 # 6636209 # 1 # ID=2_6134;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.727
2:6633339-6636209|+  -            957 2348at72274          -            698   2.6e-31  107.3   0.0   3   3   1.1e-23   1.4e-20   71.7   0.0   511   688   740   914   735   919 0.87 2_6134 # 6633339 # 6636209 # 1 # ID=2_6134;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.727
2:6411849-6414377|-  -            843 2348at72274          -            698   1.1e-25   88.7   0.1   1   3   2.8e-07   0.00037   17.5   0.0   327   390   435   500   399   509 0.83 2_5932 # 6411849 # 6414377 # -1 # ID=2_5932;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.719
2:6411849-6414377|-  -            843 2348at72274          -            698   1.1e-25   88.7   0.1   2   3      0.69   9.1e+02   -3.6   0.0   414   443   546   575   543   578 0.82 2_5932 # 6411849 # 6414377 # -1 # ID=2_5932;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.719
2:6411849-6414377|-  -            843 2348at72274          -            698   1.1e-25   88.7   0.1   3   3   9.8e-23   1.3e-19   68.6   0.0   485   690   601   800   593   805 0.85 2_5932 # 6411849 # 6414377 # -1 # ID=2_5932;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.719
2:5423248-5425527|+  -            760 2348at72274          -            698   2.7e-24   84.1   0.0   1   2   0.00057      0.75    6.6   0.0   343   385   351   394   327   410 0.78 2_4988 # 5423248 # 5425527 # 1 # ID=2_4988;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671
2:5423248-5425527|+  -            760 2348at72274          -            698   2.7e-24   84.1   0.0   2   2   1.2e-24   1.6e-21   74.9   0.0   511   689   521   702   508   710 0.87 2_4988 # 5423248 # 5425527 # 1 # ID=2_4988;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671
1:315786-319253|-    -           1156 2348at72274          -            698   0.00012   19.1   0.0   1   1   1.4e-07   0.00018   18.5   0.0   312   384  1074  1145  1067  1152 0.86 1_340 # 315786 # 319253 # -1 # ID=1_340;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.580
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/2348at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/run_pseudomonadales_odb10/hmmer_output/2348at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/busco_downloads/lineages/pseudomonadales_odb10/hmms/2348at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1/merged_merge1.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/merged_assembly1
# Date:            Tue Aug 13 13:55:24 2024
# [ok]
