#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:3035273-3036271|-  -            333 31831at72274         -            282    2e-107  357.0   0.0   1   1    4e-110  2.4e-107  356.8   0.0     2   282     7   325     6   325 0.91 1_2783 # 3035273 # 3036271 # -1 # ID=1_2783;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.709
1:5187622-5188452|+  -            277 31831at72274         -            282     1e-07   29.8   0.0   1   2   3.7e-08   2.2e-05   22.2   0.0    39   156    10   125     3   131 0.83 1_4801 # 5187622 # 5188452 # 1 # ID=1_4801;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661
1:5187622-5188452|+  -            277 31831at72274         -            282     1e-07   29.8   0.0   2   2    0.0043       2.5    5.6   0.0   227   256   212   241   198   255 0.84 1_4801 # 5187622 # 5188452 # 1 # ID=1_4801;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661
1:4462651-4463601|-  -            317 31831at72274         -            282   3.8e-06   24.7   0.2   1   1   2.1e-08   1.3e-05   23.0   0.2    48   165    24   147     7   267 0.77 1_4103 # 4462651 # 4463601 # -1 # ID=1_4103;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.686
1:76987-77826|-      -            280 31831at72274         -            282   0.00012   19.7   0.1   1   1   2.7e-07   0.00016   19.4   0.1    70   154    47   129     6   136 0.85 1_76 # 76987 # 77826 # -1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.687
3:323077-324903|-    -            609 31831at72274         -            282   0.00053   17.7   0.0   1   2   1.9e-06    0.0011   16.6   0.0    50   136   382   478   377   485 0.80 3_304 # 323077 # 324903 # -1 # ID=3_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.730
3:323077-324903|-    -            609 31831at72274         -            282   0.00053   17.7   0.0   2   2       2.7   1.6e+03   -3.6   0.0   218   250   527   559   499   568 0.73 3_304 # 323077 # 324903 # -1 # ID=3_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.730
1:1989628-1990485|+  -            286 31831at72274         -            282     0.002   15.7   0.0   1   2      0.43   2.5e+02   -1.0   0.0   120   143    94   117    57   135 0.74 1_1829 # 1989628 # 1990485 # 1 # ID=1_1829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.668
1:1989628-1990485|+  -            286 31831at72274         -            282     0.002   15.7   0.0   2   2   1.4e-05     0.008   13.8   0.0   222   248   201   227   198   239 0.87 1_1829 # 1989628 # 1990485 # 1 # ID=1_1829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.668
1:4871601-4872548|-  -            316 31831at72274         -            282    0.0037   14.9   0.2   1   3   2.1e-05     0.013   13.1   0.0    37   137    48   146    38   163 0.82 1_4477 # 4871601 # 4872548 # -1 # ID=1_4477;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
1:4871601-4872548|-  -            316 31831at72274         -            282    0.0037   14.9   0.2   2   3       2.9   1.7e+03   -3.7   0.0   134   146   210   222   210   228 0.72 1_4477 # 4871601 # 4872548 # -1 # ID=1_4477;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
1:4871601-4872548|-  -            316 31831at72274         -            282    0.0037   14.9   0.2   3   3      0.83   4.9e+02   -1.9   0.0   227   254   243   269   236   291 0.79 1_4477 # 4871601 # 4872548 # -1 # ID=1_4477;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
1:4434735-4436513|-  -            593 31831at72274         -            282     0.016   12.8   0.0   1   1   4.6e-05     0.027   12.0   0.0    28   118    12   106     4   112 0.80 1_4077 # 4434735 # 4436513 # -1 # ID=1_4077;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.698
1:1870327-1871013|-  -            229 31831at72274         -            282     0.028   12.0   0.2   1   1   0.00014     0.085   10.4   0.2    48    78    24    54    20   190 0.85 1_1739 # 1870327 # 1871013 # -1 # ID=1_1739;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.672
1:2011707-2012678|-  -            324 31831at72274         -            282     0.052   11.1   0.0   1   1   0.00011     0.067   10.8   0.0    54   162    37   146    12   204 0.81 1_1852 # 2011707 # 2012678 # -1 # ID=1_1852;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.665
1:4665879-4666736|+  -            286 31831at72274         -            282     0.082   10.5   0.1   1   2     0.058        34    1.9   0.1    51    90    66   106    56   166 0.70 1_4293 # 4665879 # 4666736 # 1 # ID=1_4293;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
1:4665879-4666736|+  -            286 31831at72274         -            282     0.082   10.5   0.1   2   2     0.003       1.8    6.1   0.0   230   252   209   231   200   240 0.86 1_4293 # 4665879 # 4666736 # 1 # ID=1_4293;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/31831at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/run_pseudomonadales_odb10/hmmer_output/31831at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/31831at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly
# Date:            Wed Aug 14 13:06:08 2024
# [ok]
