#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4115116-4115439|-  -            108 62565at72274         -             93   3.9e-52  173.1  13.3   1   1   1.2e-54   6.7e-52  172.3  13.3     1    92     1   106     1   107 0.85 1_3790 # 4115116 # 4115439 # -1 # ID=1_3790;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.590
1:5189828-5190166|-  -            113 62565at72274         -             93   1.7e-41  139.0   6.1   1   1     4e-44   2.1e-41  138.6   6.1     1    82     1    87     1    95 0.93 1_4803 # 5189828 # 5190166 # -1 # ID=1_4803;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.649
2:635952-636197|+    -             82 62565at72274         -             93   2.1e-05   23.3   8.1   1   2     0.043        23    3.9   0.3    22    45     5    28     2    32 0.80 2_522 # 635952 # 636197 # 1 # ID=2_522;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
2:635952-636197|+    -             82 62565at72274         -             93   2.1e-05   23.3   8.1   2   2   1.4e-07   7.6e-05   21.5   8.3     6    57    20    74    15    78 0.83 2_522 # 635952 # 636197 # 1 # ID=2_522;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
2:47619-48167|-      -            183 62565at72274         -             93   5.9e-05   21.9   7.2   1   2    0.0023       1.2    8.0   1.1    27    55    46    77    38    87 0.78 2_49 # 47619 # 48167 # -1 # ID=2_49;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
2:47619-48167|-      -            183 62565at72274         -             93   5.9e-05   21.9   7.2   2   2   3.1e-06    0.0017   17.2   0.6    30    56    91   117    86   129 0.90 2_49 # 47619 # 48167 # -1 # ID=2_49;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
1:3029195-3029446|-  -             84 62565at72274         -             93   8.2e-05   21.4  16.6   1   2   3.1e-07   0.00017   20.4   4.0    37    61     6    30     2    33 0.89 1_2776 # 3029195 # 3029446 # -1 # ID=1_2776;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
1:3029195-3029446|-  -             84 62565at72274         -             93   8.2e-05   21.4  16.6   2   2     0.027        14    4.6   5.2    13    26    46    59    32    71 0.72 1_2776 # 3029195 # 3029446 # -1 # ID=1_2776;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
1:3786728-3788269|+  -            514 62565at72274         -             93    0.0051   15.7   6.9   1   3     0.031        17    4.4   0.0    33    52     9    28     5    64 0.84 1_3483 # 3786728 # 3788269 # 1 # ID=1_3483;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.655
1:3786728-3788269|+  -            514 62565at72274         -             93    0.0051   15.7   6.9   2   3    0.0003      0.16   10.9   4.1     9    58   183   234   174   271 0.81 1_3483 # 3786728 # 3788269 # 1 # ID=1_3483;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.655
1:3786728-3788269|+  -            514 62565at72274         -             93    0.0051   15.7   6.9   3   3       2.8   1.5e+03   -1.9   0.1    15    49   256   288   240   291 0.66 1_3483 # 3786728 # 3788269 # 1 # ID=1_3483;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.655
1:1649790-1652606|+  -            939 62565at72274         -             93     0.028   13.3   1.0   1   2   0.00021      0.11   11.3   0.2    38    54   538   554   534   570 0.90 1_1537 # 1649790 # 1652606 # 1 # ID=1_1537;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.690
1:1649790-1652606|+  -            939 62565at72274         -             93     0.028   13.3   1.0   2   2       1.2   6.6e+02   -0.7   0.0    38    54   592   608   576   613 0.85 1_1537 # 1649790 # 1652606 # 1 # ID=1_1537;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.690
1:4248056-4248622|-  -            189 62565at72274         -             93     0.028   13.3   1.2   1   3       2.6   1.4e+03   -1.8   0.1    39    61    48    70    38    73 0.58 1_3904 # 4248056 # 4248622 # -1 # ID=1_3904;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.709
1:4248056-4248622|-  -            189 62565at72274         -             93     0.028   13.3   1.2   2   3   5.3e-05     0.028   13.3   1.2    22    57    94   130    85   136 0.81 1_3904 # 4248056 # 4248622 # -1 # ID=1_3904;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.709
1:4248056-4248622|-  -            189 62565at72274         -             93     0.028   13.3   1.2   3   3    0.0022       1.2    8.1   3.5     2    26   136   158   135   168 0.71 1_3904 # 4248056 # 4248622 # -1 # ID=1_3904;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.709
1:2332062-2333288|-  -            409 62565at72274         -             93       1.1    8.2   5.2   1   2     0.067        36    3.3   0.4    39    53    24    38    21    61 0.84 1_2153 # 2332062 # 2333288 # -1 # ID=1_2153;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.724
1:2332062-2333288|-  -            409 62565at72274         -             93       1.1    8.2   5.2   2   2    0.0063       3.4    6.6   0.5    35    53    70    88    62    94 0.85 1_2153 # 2332062 # 2333288 # -1 # ID=1_2153;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.724
1:1687565-1688494|-  -            310 62565at72274         -             93       2.2    7.2  16.0   1   3     0.056        30    3.6   0.4    34    65    28    58    19    92 0.67 1_1576 # 1687565 # 1688494 # -1 # ID=1_1576;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
1:1687565-1688494|-  -            310 62565at72274         -             93       2.2    7.2  16.0   2   3   0.00088      0.47    9.4   6.9     5    53    92   142    87   163 0.83 1_1576 # 1687565 # 1688494 # -1 # ID=1_1576;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
1:1687565-1688494|-  -            310 62565at72274         -             93       2.2    7.2  16.0   3   3       2.4   1.3e+03   -1.7   0.0    17    55   171   180   158   198 0.69 1_1576 # 1687565 # 1688494 # -1 # ID=1_1576;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
1:3115040-3116314|-  -            425 62565at72274         -             93       6.1    5.8   9.9   1   2     0.037        20    4.2   0.6    34    53   339   358   323   370 0.72 1_2855 # 3115040 # 3116314 # -1 # ID=1_2855;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.670
1:3115040-3116314|-  -            425 62565at72274         -             93       6.1    5.8   9.9   2   2     0.017       9.2    5.2   3.1    35    54   378   396   368   405 0.79 1_2855 # 3115040 # 3116314 # -1 # ID=1_2855;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.670
1:4245735-4248059|-  -            775 62565at72274         -             93       9.1    5.3   7.5   1   2       9.5   5.1e+03   -3.6   0.0    49    74   197   223   192   228 0.73 1_3903 # 4245735 # 4248059 # -1 # ID=1_3903;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
1:4245735-4248059|-  -            775 62565at72274         -             93       9.1    5.3   7.5   2   2      0.04        21    4.1   6.5     8    53   368   421   364   428 0.68 1_3903 # 4245735 # 4248059 # -1 # ID=1_3903;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/62565at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/run_pseudomonadales_odb10/hmmer_output/62565at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/62565at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly/assembly2_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/2nd_assembly
# Date:            Wed Aug 14 13:06:46 2024
# [ok]
