#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4334215-4334733|+  -            173 59210at72274         -            151     2e-73  243.7   0.1   1   1   2.1e-76   2.3e-73  243.5   0.1     1   151     1   164     1   164 0.96 1_3998 # 4334215 # 4334733 # 1 # ID=1_3998;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672
1:1347559-1349199|-  -            547 59210at72274         -            151    0.0017   16.7   0.1   1   2     0.014        15    3.9   0.0     5    27    44    66    40    85 0.86 1_1212 # 1347559 # 1349199 # -1 # ID=1_1212;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.703
1:1347559-1349199|-  -            547 59210at72274         -            151    0.0017   16.7   0.1   2   2   0.00016      0.17   10.2   0.0     3    23   376   396   374   399 0.90 1_1212 # 1347559 # 1349199 # -1 # ID=1_1212;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.703
1:3160512-3163310|-  -            933 59210at72274         -            151    0.0026   16.1   0.1   1   2      0.11   1.2e+02    1.0   0.0     3    27   284   308   282   350 0.79 1_2936 # 3160512 # 3163310 # -1 # ID=1_2936;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.683
1:3160512-3163310|-  -            933 59210at72274         -            151    0.0026   16.1   0.1   2   2   4.3e-05     0.046   12.0   0.0     4    34   625   655   622   660 0.90 1_2936 # 3160512 # 3163310 # -1 # ID=1_2936;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.683
1:6706668-6708944|+  -            759 59210at72274         -            151    0.0072   14.7   0.1   1   2     0.013        14    4.0   0.0     3    25   214   236   212   243 0.88 1_6166 # 6706668 # 6708944 # 1 # ID=1_6166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:6706668-6708944|+  -            759 59210at72274         -            151    0.0072   14.7   0.1   2   2   0.00097       1.1    7.6   0.0     4    26   496   518   493   538 0.85 1_6166 # 6706668 # 6708944 # 1 # ID=1_6166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648
1:2151067-2153466|+  -            800 59210at72274         -            151     0.037   12.3   0.0   1   1   7.9e-05     0.085   11.2   0.0     4    25   379   400   377   404 0.92 1_1983 # 2151067 # 2153466 # 1 # ID=1_1983;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.652
1:655848-657413|+    -            522 59210at72274         -            151     0.044   12.1   0.0   1   3      0.11   1.2e+02    1.0   0.0     6    25    24    43    20    52 0.88 1_545 # 655848 # 657413 # 1 # ID=1_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
1:655848-657413|+    -            522 59210at72274         -            151     0.044   12.1   0.0   2   3      0.37     4e+02   -0.8   0.0    17    34   154   171   141   201 0.66 1_545 # 655848 # 657413 # 1 # ID=1_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
1:655848-657413|+    -            522 59210at72274         -            151     0.044   12.1   0.0   3   3    0.0017       1.9    6.8   0.0     4    30   340   366   338   390 0.81 1_545 # 655848 # 657413 # 1 # ID=1_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/59210at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/59210at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/59210at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:48:37 2024
# [ok]
