#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4659393-4661069|-  -            559 10595at72274         -            464  3.5e-189  628.0  13.0   1   1  5.9e-192  6.4e-189  627.2  13.0     1   464     1   551     1   551 0.88 1_4281 # 4659393 # 4661069 # -1 # ID=1_4281;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.671
1:2139088-2140251|-  -            388 10595at72274         -            464   5.1e-06   24.1   0.1   1   2   3.8e-06    0.0041   14.5   0.0     1    44     1    43     1    58 0.89 1_1975 # 2139088 # 2140251 # -1 # ID=1_1975;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.715
1:2139088-2140251|-  -            388 10595at72274         -            464   5.1e-06   24.1   0.1   2   2   0.00049      0.54    7.6   0.0   395   425   324   354   287   360 0.86 1_1975 # 2139088 # 2140251 # -1 # ID=1_1975;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.715
1:2901843-2903567|-  -            575 10595at72274         -            464   2.5e-05   21.8   0.3   1   2   0.00051      0.55    7.6   0.0    11    43   342   375   333   385 0.86 1_2675 # 2901843 # 2903567 # -1 # ID=1_2675;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.733
1:2901843-2903567|-  -            575 10595at72274         -            464   2.5e-05   21.8   0.3   2   2     2e-05     0.022   12.2   0.1   356   432   466   539   461   547 0.80 1_2675 # 2901843 # 2903567 # -1 # ID=1_2675;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.733
1:4891864-4892577|+  -            238 10595at72274         -            464   0.00015   19.3   0.3   1   2   0.00067      0.72    7.2   0.0    26    58    44    74    25    81 0.77 1_4470 # 4891864 # 4892577 # 1 # ID=1_4470;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.683
1:4891864-4892577|+  -            238 10595at72274         -            464   0.00015   19.3   0.3   2   2   7.8e-05     0.085   10.2   0.3   356   431   152   226   131   234 0.77 1_4470 # 4891864 # 4892577 # 1 # ID=1_4470;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.683
1:2615290-2616264|+  -            325 10595at72274         -            464     0.012   13.0   4.7   1   2   0.00034      0.37    8.1   0.3    12    42    21    52    15    58 0.85 1_2402 # 2615290 # 2616264 # 1 # ID=1_2402;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.695
1:2615290-2616264|+  -            325 10595at72274         -            464     0.012   13.0   4.7   2   2   0.00095         1    6.7   0.5   356   432   154   229   141   234 0.74 1_2402 # 2615290 # 2616264 # 1 # ID=1_2402;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.695
1:6497777-6500743|-  -            989 10595at72274         -            464     0.052   10.9   3.0   1   3   0.00024      0.26    8.6   0.3    64   141    83   159    77   201 0.82 1_5976 # 6497777 # 6500743 # -1 # ID=1_5976;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.646
1:6497777-6500743|-  -            989 10595at72274         -            464     0.052   10.9   3.0   2   3     0.066        72    0.6   0.1   244   274   512   540   492   555 0.74 1_5976 # 6497777 # 6500743 # -1 # ID=1_5976;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.646
1:6497777-6500743|-  -            989 10595at72274         -            464     0.052   10.9   3.0   3   3      0.22   2.4e+02   -1.1   0.0   126   194   571   639   560   665 0.77 1_5976 # 6497777 # 6500743 # -1 # ID=1_5976;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.646
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/10595at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/10595at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/10595at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:45:58 2024
# [ok]
