#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:4709240-4710151|+  -            304 32696at72274         -            231   2.9e-90  300.3   1.2   1   1   1.9e-91   1.5e-88  294.7   1.2     1   231    13   293    13   293 0.85 2_4346 # 4709240 # 4710151 # 1 # ID=2_4346;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.704
2:6433160-6434056|+  -            299 32696at72274         -            231   5.7e-51  171.7   1.1   1   1   3.8e-52   3.1e-49  166.1   1.1    37   228    69   297    18   298 0.81 2_5954 # 6433160 # 6434056 # 1 # ID=2_5954;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.676
1:176252-177265|-    -            338 32696at72274         -            231   4.8e-23   80.4   3.8   1   3      0.78   6.4e+02   -1.8   0.0   125   151    56    83    39    90 0.76 1_200 # 176252 # 177265 # -1 # ID=1_200;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612
1:176252-177265|-    -            338 32696at72274         -            231   4.8e-23   80.4   3.8   2   3   3.7e-07   0.00031   18.8   0.0    85   138   136   193    74   207 0.82 1_200 # 176252 # 177265 # -1 # ID=1_200;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612
1:176252-177265|-    -            338 32696at72274         -            231   4.8e-23   80.4   3.8   3   3   3.8e-20   3.2e-17   61.3   0.7   156   213   257   315   247   318 0.86 1_200 # 176252 # 177265 # -1 # ID=1_200;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612
2:3851521-3852801|+  -            427 32696at72274         -            231   5.9e-11   40.8   0.9   1   2      0.71   5.8e+02   -1.7   0.0     4    32    59    87    57    97 0.81 2_3592 # 3851521 # 3852801 # 1 # ID=2_3592;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.609
2:3851521-3852801|+  -            427 32696at72274         -            231   5.9e-11   40.8   0.9   2   2   5.8e-13   4.8e-10   37.8   0.5    85   222   146   304   143   308 0.73 2_3592 # 3851521 # 3852801 # 1 # ID=2_3592;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.609
2:3073795-3075096|+  -            434 32696at72274         -            231   1.8e-10   39.2   3.9   1   2       1.1   8.8e+02   -2.3   0.0     4    32    17    45    14    62 0.78 2_2844 # 3073795 # 3075096 # 1 # ID=2_2844;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.555
2:3073795-3075096|+  -            434 32696at72274         -            231   1.8e-10   39.2   3.9   2   2   1.2e-12   9.6e-10   36.8   2.6    44   223   110   305    56   308 0.65 2_2844 # 3073795 # 3075096 # 1 # ID=2_2844;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.555
2:2158192-2159301|+  -            370 32696at72274         -            231     3e-10   38.5   0.0   1   2       2.2   1.8e+03   -3.3   0.0    37    58   118   139   116   164 0.67 2_1974 # 2158192 # 2159301 # 1 # ID=2_1974;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.589
2:2158192-2159301|+  -            370 32696at72274         -            231     3e-10   38.5   0.0   2   2   8.7e-13   7.2e-10   37.3   0.0    87   214   189   328   177   336 0.84 2_1974 # 2158192 # 2159301 # 1 # ID=2_1974;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.589
1:216616-217671|-    -            352 32696at72274         -            231    0.0014   16.7   0.0   1   1   3.8e-06    0.0032   15.5   0.0   151   215   249   314   217   324 0.83 1_239 # 216616 # 217671 # -1 # ID=1_239;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.584
1:240633-241928|-    -            432 32696at72274         -            231    0.0048   14.9   0.2   1   4       3.7     3e+03   -4.1   0.0     8    24    70    86    63    95 0.77 1_263 # 240633 # 241928 # -1 # ID=1_263;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
1:240633-241928|-    -            432 32696at72274         -            231    0.0048   14.9   0.2   2   4      0.03        25    2.8   0.0    34    68   166   200   158   215 0.83 1_263 # 240633 # 241928 # -1 # ID=1_263;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
1:240633-241928|-    -            432 32696at72274         -            231    0.0048   14.9   0.2   3   4       1.2     1e+03   -2.5   0.0    85   104   249   268   239   314 0.65 1_263 # 240633 # 241928 # -1 # ID=1_263;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
1:240633-241928|-    -            432 32696at72274         -            231    0.0048   14.9   0.2   4   4   0.00045      0.37    8.7   0.1   173   221   375   424   338   427 0.82 1_263 # 240633 # 241928 # -1 # ID=1_263;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/32696at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/32696at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/32696at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:50:50 2024
# [ok]
