#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:2986718-2987323|-  -            202 56907at72274         -            157     2e-77  256.7   0.2   1   1   7.9e-80   4.7e-77  255.5   0.2     1   157     1   190     1   190 0.88 1_2753 # 2986718 # 2987323 # -1 # ID=1_2753;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.647
1:1798987-1799589|-  -            201 56907at72274         -            157   3.1e-38  129.4   0.0   1   1   2.8e-40   1.7e-37  127.0   0.0     3   156     4   185     2   186 0.83 1_1641 # 1798987 # 1799589 # -1 # ID=1_1641;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.670
1:2891668-2893551|+  -            628 56907at72274         -            157   1.3e-09   36.3   0.0   1   1   1.3e-11   7.9e-09   33.8   0.0     2   156   437   617   436   618 0.66 1_2667 # 2891668 # 2893551 # 1 # ID=1_2667;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.702
1:729419-731302|-    -            628 56907at72274         -            157   1.3e-09   36.3   0.0   1   1   1.3e-11   7.9e-09   33.8   0.0     2   156   437   617   436   618 0.66 1_607 # 729419 # 731302 # -1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.702
1:4666095-4667231|+  -            379 56907at72274         -            157   3.4e-08   31.8   0.0   1   1     9e-11   5.3e-08   31.1   0.0    34   142   231   355   202   370 0.73 1_4286 # 4666095 # 4667231 # 1 # ID=1_4286;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.657
1:5290995-5292572|+  -            526 56907at72274         -            157   6.6e-08   30.8   0.1   1   1   2.5e-08   1.5e-05   23.2   0.1    34   156    49   197    10   198 0.71 1_4844 # 5290995 # 5292572 # 1 # ID=1_4844;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.658
1:3345294-3346046|-  -            251 56907at72274         -            157   0.00067   17.8   0.0   1   2     2e-05     0.012   13.8   0.0    59    83   104   128    90   143 0.84 1_3103 # 3345294 # 3346046 # -1 # ID=1_3103;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.644
1:3345294-3346046|-  -            251 56907at72274         -            157   0.00067   17.8   0.0   2   2      0.13        75    1.4   0.0   132   150   213   232   188   239 0.70 1_3103 # 3345294 # 3346046 # -1 # ID=1_3103;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.644
1:3093161-3093877|-  -            239 56907at72274         -            157      0.02   13.0   0.0   1   1   6.2e-05     0.037   12.2   0.0    63    87    82   106    71   117 0.85 1_2864 # 3093161 # 3093877 # -1 # ID=1_2864;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.685
1:4218737-4219375|+  -            213 56907at72274         -            157     0.022   12.9   0.1   1   2     0.016       9.2    4.3   0.0    57    74    70    87    34    99 0.89 1_3894 # 4218737 # 4219375 # 1 # ID=1_3894;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.682
1:4218737-4219375|+  -            213 56907at72274         -            157     0.022   12.9   0.1   2   2    0.0034         2    6.5   0.1   136   157   186   206   178   206 0.88 1_3894 # 4218737 # 4219375 # 1 # ID=1_3894;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.682
1:1005041-1005763|-  -            241 56907at72274         -            157     0.028   12.5   0.0   1   1     7e-05     0.041   12.0   0.0    55    87    85   117    66   158 0.84 1_885 # 1005041 # 1005763 # -1 # ID=1_885;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.646
1:1019789-1020487|-  -            233 56907at72274         -            157     0.034   12.3   0.0   1   1   8.2e-05     0.049   11.8   0.0    58    84    77   103    39   140 0.80 1_899 # 1019789 # 1020487 # -1 # ID=1_899;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.685
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/56907at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/run_pseudomonadales_odb10/hmmer_output/56907at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/56907at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly/assembly3_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/3rd_assembly
# Date:            Tue Aug 13 14:48:34 2024
# [ok]
