#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2:2095325-2097190|-  -            622 12775at72274         -            529  4.8e-182  605.1  16.8   1   1  1.3e-183  1.1e-180  600.6  16.8     1   529     2   619     2   619 0.88 2_1878 # 2095325 # 2097190 # -1 # ID=2_1878;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.631
2:5694340-5695632|-  -            431 12775at72274         -            529   3.9e-43  146.7   6.1   1   3   5.9e-06    0.0049   14.4   5.3    35   166    33   166    22   171 0.83 2_5248 # 5694340 # 5695632 # -1 # ID=2_5248;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.654
2:5694340-5695632|-  -            431 12775at72274         -            529   3.9e-43  146.7   6.1   2   3     2e-15   1.6e-12   45.6   0.0   229   330   172   278   157   284 0.85 2_5248 # 5694340 # 5695632 # -1 # ID=2_5248;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.654
2:5694340-5695632|-  -            431 12775at72274         -            529   3.9e-43  146.7   6.1   3   3   3.7e-27   3.1e-24   84.3   0.0   234   339   287   393   282   427 0.84 2_5248 # 5694340 # 5695632 # -1 # ID=2_5248;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.654
2:3418414-3419358|-  -            315 12775at72274         -            529   1.4e-27   95.3   0.2   1   1   2.7e-30   2.2e-27   94.7   0.1   207   360   129   288   110   304 0.88 2_3194 # 3418414 # 3419358 # -1 # ID=2_3194;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.703
2:5889512-5889793|+  -             94 12775at72274         -            529   5.4e-15   53.8   0.0   1   1   7.4e-18   6.1e-15   53.7   0.0   238   330     6    91     2    93 0.86 2_5424 # 5889512 # 5889793 # 1 # ID=2_5424;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
2:1881240-1881518|+  -             93 12775at72274         -            529   1.8e-14   52.1   0.0   1   1   2.6e-17   2.1e-14   51.9   0.0   238   327     6    88     3    91 0.88 2_1685 # 1881240 # 1881518 # 1 # ID=2_1685;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.652
2:6289995-6290813|+  -            273 12775at72274         -            529     2e-11   42.0   0.0   1   2     0.095        78    0.5   0.1    77    95    47    65    17    70 0.84 2_5822 # 6289995 # 6290813 # 1 # ID=2_5822;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.700
2:6289995-6290813|+  -            273 12775at72274         -            529     2e-11   42.0   0.0   2   2   1.8e-13   1.5e-10   39.2   0.0   237   356   119   243   116   256 0.89 2_5822 # 6289995 # 6290813 # 1 # ID=2_5822;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.700
2:5059295-5060581|+  -            429 12775at72274         -            529    0.0043   14.6   0.0   1   1     2e-05     0.017   12.6   0.0   217   337   271   390   268   423 0.73 2_4666 # 5059295 # 5060581 # 1 # ID=2_4666;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.693
2:2619106-2619375|-  -             90 12775at72274         -            529     0.033   11.6   0.5   1   1   4.7e-05     0.039   11.4   0.5    11    45    15    50     7    52 0.87 2_2414 # 2619106 # 2619375 # -1 # ID=2_2414;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.641
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/12775at72274.hmm
# Target file:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/run_pseudomonadales_odb10/hmmer_output/12775at72274.out --cpu 1 /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/busco_downloads/lineages/pseudomonadales_odb10/hmms/12775at72274.hmm /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly/assembly1_results.busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/projects/internship2024/darwin/long_read/process_scripts/busco/1st_assembly
# Date:            Wed Aug 14 12:50:07 2024
# [ok]
